Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.8617493576790854,0.030361378952719346,0.9251064653503678,0.020859503320859913,0.9131061786532317,0.02158532969950597
SVM,0.8822288712849311,0.052316028263225144,0.9285133565621372,0.032137629770657455,0.9211231628157266,0.036931453035059
KNN,0.8590117626317086,0.05699488896829746,0.9139630920118726,0.0343457884513523,0.9039697627732671,0.04147471633801497
Random Forest,0.8384521297202246,0.07004532827039964,0.9067040908504322,0.041502905509277384,0.8927562587137056,0.05114332063991871
XGBoost,0.8555838360427511,0.06156715917405964,0.9188734030197445,0.03523004120209972,0.9069794356586808,0.0414443074343289
