Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.9044676976507449,0.006135251259354876,0.9518984567514671,0.00350488492960152,0.9591795259130158,0.0024855168689393507
SVM,0.9230709332683882,0.006269633760190008,0.9613762941067592,0.0032654060250347674,0.9670816783299351,0.002644907692189493
KNN,0.8922290454253942,0.008073644274703666,0.9466456353325713,0.00415439833491174,0.9535855331320745,0.0034238511166160197
Random Forest,0.8974082484739464,0.010028961911744752,0.9495928568375733,0.004739944061228614,0.9556129215564345,0.0044934271608518305
XGBoost,0.909251156954441,0.010467434037234602,0.9549006648750872,0.005587543545987391,0.9610108663676854,0.0043819109556148435
