Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.21601095727295103,0.028760658759366623,0.607355613495699,0.015977958661246683,0.4155837407813106,0.026389187112096098
SVM,0.2382239110714086,0.04292669768443159,0.5584179956107606,0.009134374474722155,0.22818226970056657,0.02011194576311284
KNN,0.2221318816440815,0.03131243116431006,0.5876729048129061,0.014656220419970379,0.3482847826989378,0.03371630668834984
Random Forest,0.23327022085956287,0.036572306516546915,0.5593698635377584,0.009384911101018849,0.2334878213797411,0.023590591990652762
XGBoost,0.23812277705448567,0.026664674235132996,0.5798843317464977,0.0070139198844053905,0.3128919658091679,0.014682021074096503
