Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.9539184349555532,0.020812077396828825,0.9767976476877841,0.010370938343499257,0.9765387391693766,0.010430509676485155
SVM,0.9474359394687377,0.018793432924958674,0.9733226410050788,0.009431037353282285,0.9728201956244129,0.009548323018527195
KNN,0.9149721144992883,0.009716767073811682,0.9570569366479551,0.004593425338129814,0.9563312598526423,0.004593118990805616
Random Forest,0.9138069006974001,0.014761666913816243,0.9559342421812349,0.007674422794433817,0.9545936013672899,0.008382220358827916
XGBoost,0.940268084961952,0.02480962596136101,0.9698342689120555,0.012359471236283694,0.9694350298063312,0.012381326391383899
