Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.28850237721483035,0.05478938493214499,0.6443092604170823,0.02810532131265813,0.5775551263361562,0.03889025373093846
SVM,0.322329661966248,0.02046184271256162,0.6481046767214848,0.009830098599555897,0.5416399269117956,0.016566104728226845
KNN,0.30687652133090604,0.031247212698041524,0.6462276126650721,0.013982456260153715,0.5543904084271233,0.016653630778624733
Random Forest,0.3055064649541425,0.03634626047420051,0.6374385175515528,0.01798362898406029,0.5179644125174845,0.03132463164288643
XGBoost,0.32524749547730614,0.025287430454810852,0.6555453021378783,0.010252169855644146,0.5684621894406642,0.009109264675105084
