name,mcc_mean,auc_roc_mean,f1_mean
DPPIV_inhibitory_activity,0.5843101360339389,0.7841193893825473,0.8181053486520419
HemoPI1,0.8599286718155446,0.9288108108108108,0.9288991193374893
HemoPI2,0.49786481433172136,0.7479400348965567,0.7684396681991859
HemoPI3,0.5067165672264442,0.7521799133179279,0.7710083931204246
Hemo_HAPPENN,0.572637288535131,0.7818337359612766,0.740459003695795
ace_inhibitory_activity,0.5415210258429057,0.767971784971785,0.7767214094852509
ace_vaxinpad,0.7918898891125268,0.8955656092541338,0.8846476294178623
acp_anticp,0.5792242845975731,0.7837272727272727,0.7649972673258967
acp_iacp,0.6325487261810885,0.8013421086591818,0.7753355465316205
acp_mlacp,0.5011675197529174,0.735255923978609,0.6454948360961332
afp_amppred,0.6858627667417879,0.8415869965172748,0.8393510545728968
afp_antifp,0.6057413744787634,0.8007378901285129,0.8124234749945826
aip_aippred,0.18378122007548106,0.5832926984126985,0.45080996887539887
aip_antiinflam,0.23556082648045829,0.6108757502864063,0.5192642300072388
amp_antibp,0.7932217114336925,0.8924244854317027,0.8957854745350946
amp_antibp2,0.6996354558473822,0.8475695903761229,0.8498845059725003
amp_csamp,0.6687866270951941,0.8243576923076924,0.9071832309804094
amp_fernandes,0.4451961877763092,0.7159782608695653,0.7369810510337842
amp_gonzales,0.7895483504292299,0.8764285714285716,0.8061227661227661
amp_iamp2l,0.5932171441542469,0.7936461943461943,0.726290341194068
amp_modlamp,0.809344601078825,0.904805432135954,0.901847082470516
anitinflamatory,0.22984407500867404,0.6058183664505834,0.48575153702738927
anti_MRSA,0.5767443616863211,0.7234861712895727,0.5860545911241296
antibacterial,0.7573802837429239,0.8761291066450662,0.8800983339823949
anticancer_alternative,0.7110531682089428,0.8537113402061856,0.8525523207404115
anticancer_main,0.4458278183452176,0.7205524936147333,0.7259137996268921
antidiabetic,0.22933361816300474,0.613741134751773,0.61699628061055
antifungal,0.7123254221194001,0.8554022638444749,0.8572682898750636
antimalarial_alternative,0.6264066888457032,0.7852345160286337,0.7034692083653107
antimalarial_main,0.6011921698508511,0.75480491123822,0.5958247002852024
antimicrobial,0.5888645246267765,0.7922344832836092,0.790043782332452
antimicrobial_UniDL4BioPep,0.699224666031634,0.8513502700397918,0.9006019279160519
antioxidant,0.7933801003271743,0.895377358490566,0.8911178717211612
antioxidant_UniDL4BioPep,0.45747810063470296,0.726454206210236,0.7063823315100252
antiparasitic,0.4249732625568762,0.6867422845954072,0.5585120044862718
antiviral,0.4968736780276931,0.7450751879699248,0.7340630480402741
atb_antitbp,0.5446311173004623,0.765404081632653,0.7419772410889569
atb_iantitb,0.4257769838358537,0.705730612244898,0.6755040708662972
avp_amppred,0.4918207053534777,0.7447515744104414,0.7397320580890528
avp_avppred,0.45293658497941014,0.7255920750322601,0.7521382620692035
bce_ibce,0.16830869388842298,0.5808143920402571,0.4985938473148945
bitter,0.558705212495707,0.7759375,0.7827925253448874
blood_brain_barrier,0.38186436452745687,0.6865217391304348,0.7181556854490354
cpp_cellppd,0.6642084600539231,0.8295107737136723,0.8333514033483777
cpp_cellppdmod,0.7840800611794515,0.8916680644860684,0.8903971362036514
cpp_cppredfl,0.6457781535235707,0.8208765778401121,0.8208247840292102
cpp_kelmcpp,0.605008936735626,0.8003570957095709,0.8109898991621918
cpp_mlcpp,0.5991892835572041,0.7869907566320811,0.7565965267432622
cpp_mlcppue,0.20448343424362,0.6014224751066857,0.6029356356131456
cpp_sanders,-0.016038370482841624,0.5008714473931866,0.8430568912514838
hem_hemopi,0.8004426404201326,0.8996836764767797,0.8952020627629833
hiv_apv,0.6879062643017717,0.8396174679901798,0.8775453185351981
hiv_bevirimat,0.6437242842806248,0.8061407553798858,0.7184762805134322
hiv_idv,0.8106422022936159,0.9027166267871914,0.9087939472585965
hiv_lpv,0.7892442648933418,0.8917503590547071,0.8836141799743157
hiv_nfv,0.7952523923005727,0.9005135550516503,0.8739269984863467
hiv_protease,0.49385040662301555,0.6836602960312297,0.48670978769342527
hiv_rtv,0.8446803364539381,0.9204667278951323,0.9209096570084331
hiv_sqv,0.7548164019080437,0.8731151515151515,0.9040218844038026
hiv_v3,0.8315559405701336,0.8893530961791832,0.8494944700414209
isp_il10pred,0.31505824651459047,0.6310381920426025,0.47153112177322365
nep_neuropipred,0.6832581544064561,0.837142857142857,0.8247000098552455
neuropeptide,0.626979727554365,0.8090721649484536,0.819642654031556
pip_pipel,0.27132869465474085,0.6012149948662676,0.3701480201246375
quorum_sensing,0.6721422517666964,0.8212085976039465,0.8496614054401336
tce_zhao,0.4739227362227699,0.7094862490450726,0.5208960217628948
toxic,0.8007010094357454,0.8999489898381331,0.9012537623709432
toxic_PLPTP,0.7670872272640169,0.8688552731892619,0.8246745114290939
tumor_t_cell_antigens,0.29124761570937885,0.6278179020688202,0.749913572044156
umami,0.5694182977227825,0.7668914910226385,0.6833787769568318
