name,mcc_std,auc_roc_std,f1_std
DPPIV_inhibitory_activity,0.26872638606015153,0.1504463786312689,0.08207200586242588
HemoPI1,0.06558621282812699,0.03400602423392638,0.031138114477334177
HemoPI2,0.04478293884830131,0.021866499681147213,0.03131002780071722
HemoPI3,0.043731681890583775,0.021121614591128525,0.037285184405594196
Hemo_HAPPENN,0.04103407427349416,0.0195324797784217,0.023394439388108257
ace_inhibitory_activity,0.1167018658913308,0.0634121198593803,0.04189583154695299
ace_vaxinpad,0.07669912662418037,0.03657250633867431,0.038670818837702244
acp_anticp,0.10109996578275127,0.05382968214781394,0.07966199649090887
acp_iacp,0.1850589480790271,0.09103033313252584,0.08056293165750963
acp_mlacp,0.10128537090986993,0.03432814605390404,0.038788351234578355
afp_amppred,0.12671823498143955,0.06367653927647725,0.05681415531989491
afp_antifp,0.1933223696198966,0.10081570180463084,0.07646309236194773
aip_aippred,0.08785908661780777,0.03889189372259091,0.055618067875076456
aip_antiinflam,0.06911499580268998,0.030636905981962757,0.026404153967640762
amp_antibp,0.07616952920077263,0.04457639195179828,0.03266307330218722
amp_antibp2,0.12599195583037986,0.06505724651864268,0.05324367834207663
amp_csamp,0.3760473562743291,0.1833041912690975,0.07728198267904704
amp_fernandes,0.12514836061850695,0.06771963516261331,0.04704735190184583
amp_gonzales,0.061877823569076604,0.01765440467801585,0.05006912973102929
amp_iamp2l,0.30911424649301955,0.15911984422432865,0.1693250170985996
amp_modlamp,0.05030070129714783,0.025428869895932953,0.02479386910581352
anitinflamatory,0.08876254594419689,0.03993598124501064,0.03905118319395066
anti_MRSA,0.09800948016029672,0.05240929187203168,0.10026265055296028
antibacterial,0.1361280411452944,0.0715665688430873,0.05749724912050244
anticancer_alternative,0.11472460288060518,0.057648365474441715,0.049621664645838046
anticancer_main,0.05136209953773159,0.02941882997828765,0.010508705592091515
antidiabetic,0.06702469959922859,0.03369951858804131,0.028166293401727608
antifungal,0.2705878541887433,0.1357183896736945,0.12901806977946165
antimalarial_alternative,0.35083079636558173,0.15999549893020706,0.2320045278200201
antimalarial_main,0.2606440162986066,0.07521008751462337,0.24847121057438318
antimicrobial,0.08010477548879273,0.04076263310481949,0.02534618519919011
antimicrobial_UniDL4BioPep,0.39105746735084285,0.19653472419136914,0.09690844687519791
antioxidant,0.08030779194366933,0.041211408693214754,0.04586165240581356
antioxidant_UniDL4BioPep,0.05307045066945472,0.027178860771205,0.036698449720854634
antiparasitic,0.19146446561623773,0.09596276400117873,0.0928175917853955
antiviral,0.09656981368170656,0.04563974187065716,0.029870288253920393
atb_antitbp,0.03270657816571413,0.019945753170897126,0.04326049549447316
atb_iantitb,0.05787802025993368,0.030627949713023347,0.05755841280117406
avp_amppred,0.10379132739365715,0.05196516303041824,0.0412569407444128
avp_avppred,0.10822706984096622,0.05427691284973152,0.07713963083893134
bce_ibce,0.0719210758205177,0.034455735718494626,0.03330905966233837
bitter,0.0755785944436231,0.04162823748671087,0.02625155224468798
blood_brain_barrier,0.16881951049775337,0.09073117770565692,0.03003257391662074
cpp_cellppd,0.12902565715936062,0.06729712521444398,0.050874465570507205
cpp_cellppdmod,0.0427165582956489,0.021356331165298864,0.021614086085579534
cpp_cppredfl,0.07925645260787995,0.038302756925468265,0.04294695920368725
cpp_kelmcpp,0.06843669197253388,0.03683672512394567,0.026982892950577028
cpp_mlcpp,0.18394889414474816,0.09577913921072492,0.08111683784217555
cpp_mlcppue,0.027375940814633695,0.013213618500858525,0.018241295847891165
cpp_sanders,0.10729920361996606,0.04335736240668849,0.014278358396389102
hem_hemopi,0.053517195020108425,0.026944872356195602,0.02651194497781944
hiv_apv,0.06344008813985767,0.03843488228338068,0.019095097295245285
hiv_bevirimat,0.05461916236658165,0.04189076812334834,0.05915553748788296
hiv_idv,0.060990247571120225,0.03463969340657692,0.026924793933037146
hiv_lpv,0.05854607867161358,0.02987500854267322,0.028113156644434104
hiv_nfv,0.07892761027366114,0.036530201317740936,0.04670552839585491
hiv_protease,0.14151677331005258,0.10050017199697377,0.1846038115235609
hiv_rtv,0.08220217056118927,0.045238931518536724,0.040302451917058245
hiv_sqv,0.05211662747599107,0.03439730386784537,0.016665078780701947
hiv_v3,0.0402256885281401,0.03592811022667611,0.041961080929057225
isp_il10pred,0.08664924155374151,0.02681038576541273,0.03666149462084246
nep_neuropipred,0.07476841571195421,0.03921265934696627,0.0474041197862606
neuropeptide,0.10374463308945969,0.06049060765626593,0.03830140507180654
pip_pipel,0.12199248045780035,0.04689590169395277,0.08894431514982715
quorum_sensing,0.21613818880225083,0.13698171097226955,0.08166771422580267
tce_zhao,0.04232352045852529,0.05699702567123573,0.06515684413320603
toxic,0.052046632528172175,0.026494639966032914,0.024622318259905084
toxic_PLPTP,0.06995010239596731,0.04687566255147091,0.06166672979394368
tumor_t_cell_antigens,0.12171790053825175,0.04723742676110444,0.046293009090092714
umami,0.07095039314561674,0.03893677478981523,0.057599880513282686
