Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.5712571603191611,0.08639386566170643,0.784375,0.04324485157218139,0.7785586330439577,0.049956570273196076
SVM,0.5772175471693726,0.059536446896547135,0.7875,0.03061862178478973,0.7802201035781545,0.03840385877298784
KNN,0.42745354045417017,0.07143433121980178,0.703125,0.03528621809573817,0.7425399119875478,0.030034661751548987
Random Forest,0.6016406987804326,0.06309786248974253,0.7984375,0.030217311884083935,0.8048238942724707,0.032109994968094184
XGBoost,0.6159571157553987,0.06431813174924722,0.80625,0.03255104164999947,0.8078200838423065,0.03618881319836958
