Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.7004256527885261,0.024653671231048748,0.8499589868534592,0.012126918602972075,0.8518978763657847,0.013656186354877546
SVM,0.7760825919445338,0.022474942767910466,0.8847610527384397,0.011869381600882986,0.8769592041457746,0.014130641545439653
KNN,0.48235581171261,0.0789931803327224,0.7348020912644028,0.04094722866719148,0.7577145885250276,0.0226456892490046
Random Forest,0.7874714156780269,0.014457751111038395,0.8927132379067052,0.00731389261442804,0.8890906336285423,0.0077419144780482415
XGBoost,0.7518418071132145,0.018233734417958846,0.8756125831176081,0.009353079925919699,0.8737602271973728,0.010545025236098215
