name,Logistic_Regression_MCC_std,Logistic_Regression_AUC-ROC_std,Logistic_Regression_F1_std,SVM_MCC_std,SVM_AUC-ROC_std,SVM_F1_std,KNN_MCC_std,KNN_AUC-ROC_std,KNN_F1_std,Random_Forest_MCC_std,Random_Forest_AUC-ROC_std,Random_Forest_F1_std,XGBoost_MCC_std,XGBoost_AUC-ROC_std,XGBoost_F1_std
DPPIV_inhibitory_activity,0.0285143546207929,0.0150133402868535,0.0114716776491394,0.0397650591708183,0.0195709667740606,0.0186216032886208,0.0420152108363865,0.0062906768912336,0.004219697144004,0.0207707538939943,0.0101115801094886,0.0125285167677781,0.022365816475994,0.0111759857851362,0.0096971096694107
HemoPI1,0.020949472147045,0.0105292867944154,0.0108285478123247,0.0378769539178128,0.0195493042251843,0.021034740818045,0.0219907951740457,0.012394202171731,0.0119344796942818,0.0312897429386627,0.0158132791812055,0.0166138128338366,0.0364412694538372,0.0182826483064003,0.0187656378841196
HemoPI2,0.0724258817872116,0.0354391887675311,0.0343652050867208,0.0252823514404645,0.0115284197030951,0.0165130264118238,0.0148270200367796,0.0075182907807614,0.0177370783320917,0.052458233014204,0.0256844591716415,0.0250574339133105,0.0582289833427003,0.0289962843538021,0.0255969318229617
HemoPI3,0.0700962099385203,0.0349488771898089,0.0326309941411885,0.0587372231862397,0.0284126345671589,0.027626406495488,0.0230355371869981,0.0118905065943752,0.0152639322873211,0.02153981363343,0.0100237032428799,0.01051160680869,0.0416587766233317,0.0200381311184583,0.0221451137869104
Hemo_HAPPENN,0.0164383353117374,0.0069799896440491,0.0078299023811843,0.0192670141585009,0.0069753238993286,0.0078970897413497,0.0319556705229928,0.0149642012489521,0.0186255683693191,0.0280862836702699,0.0145414673827349,0.0187202290146535,0.0262201567961763,0.013535559400672,0.0174892488532581
ace_inhibitory_activity,0.0229820257709427,0.0115009375860143,0.0096424212115736,0.0185214920569713,0.0091258112707818,0.0090338352660749,0.0654534531345164,0.0307082934650312,0.0258550282174798,0.0338169074196835,0.0169280275504324,0.0181992934460209,0.0232481217856727,0.0116876377487696,0.0115700794047009
ace_vaxinpad,0.0396260791592881,0.018752708163092,0.0206548382500825,0.014984169153793,0.00899391481982,0.0096858433285452,0.1050702843550644,0.0533537575694515,0.0530701978946905,0.0179117769562018,0.0080699363137249,0.0094233602053523,0.0342063868173281,0.0168005699379702,0.0179163751704468
acp_anticp,0.0574443304243921,0.0294265499967244,0.0400150107131124,0.0445491423791057,0.0279526178014672,0.044331511860882,0.0756377752047514,0.0474608834258883,0.1058117663700637,0.0786939426751257,0.0408267034215874,0.0523981167125862,0.1478763639673244,0.0726025867198154,0.0788359526753042
acp_iacp,0.0324007778672236,0.0201515884517029,0.0247606598406824,0.0606657586926009,0.0421998559556321,0.060828735901852,0.0792029639722124,0.0465854270552397,0.0363019957349321,0.0612065766071836,0.0337245946956481,0.0414249408849711,0.0476488315328616,0.0232797056851764,0.0286637933199859
acp_mlacp,0.0407939901561223,0.0264212730080553,0.0360285799714657,0.0699244647209188,0.0283115487077792,0.0469233848573234,0.1121014061854627,0.0606987841219154,0.0581034715172986,0.0565231653253485,0.0257577631833658,0.0415807619367754,0.063950897223583,0.0281906962423726,0.0405136134823694
afp_amppred,0.02954537470413,0.0147541211183547,0.0141185198578346,0.029073232640265,0.0142508285015747,0.0143870906627717,0.0320505448842651,0.01732087336193,0.0102202093393481,0.0148450518842776,0.0071589015008025,0.0074316915249402,0.0295200078805608,0.0145255011662016,0.0142158967277966
