name,Logistic_Regression_MCC_mean,Logistic_Regression_AUC-ROC_mean,Logistic_Regression_F1_mean,SVM_MCC_mean,SVM_AUC-ROC_mean,SVM_F1_mean,KNN_MCC_mean,KNN_AUC-ROC_mean,KNN_F1_mean,Random_Forest_MCC_mean,Random_Forest_AUC-ROC_mean,Random_Forest_F1_mean,XGBoost_MCC_mean,XGBoost_AUC-ROC_mean,XGBoost_F1_mean
DPPIV_inhibitory_activity,0.7131632921323369,0.8555365686944635,0.8599049308431763,0.7030366674198173,0.8502734107997266,0.8552595772365041,0.103708057109342,0.5150375939849624,0.671419991288831,0.6970609165223156,0.8479835953520165,0.850352550705462,0.7045817469858828,0.8517657780815675,0.8535896931862362
HemoPI1,0.8878598546974583,0.943865683865684,0.9436011991975296,0.892689142904796,0.944774774774775,0.9422444728140188,0.7440234672727747,0.8685995085995085,0.8738291180222288,0.9015803979006554,0.9502129402129402,0.948977916031257,0.8734904963020386,0.9366011466011468,0.9358428906224112
HemoPI2,0.5221347374573205,0.7599094619290974,0.7858399942962728,0.4952312191566919,0.7456961334661194,0.773566235336383,0.422968461148181,0.7115456027237232,0.7142246679187009,0.5386069244427746,0.7677591999751888,0.7929694573022718,0.5103827294536394,0.7547897763886544,0.7755979861423011
HemoPI3,0.4937160867370882,0.747080190194597,0.7675668244340239,0.5201227979529293,0.7582710282922147,0.7871639550320572,0.4376208809933035,0.7182753633873488,0.7080738130352001,0.5502194001250217,0.7725239761710705,0.8018666551545582,0.5319036703238785,0.7647490085444081,0.7903707179462833
Hemo_HAPPENN,0.527011111221241,0.7621844617111885,0.7195043429000512,0.6025954106869238,0.795073788954409,0.7558000848424826,0.5350658060156304,0.7616248610476445,0.7138070281710083,0.6207873079759809,0.805193105837775,0.7685058857939578,0.5777268067758788,0.7850924622553656,0.744677676771475
ace_inhibitory_activity,0.5121404207460974,0.7559607959607959,0.7567663117024355,0.603403899832766,0.801003861003861,0.7942805693553305,0.3543286998611791,0.6643421443421443,0.7168426222161822,0.656142844575478,0.827955152955153,0.827733038328381,0.5815892641990082,0.7905969705969705,0.7879845058239254
ace_vaxinpad,0.8121299752959557,0.9063359591228444,0.8954320677884591,0.8600003238414482,0.9250713221205024,0.9174012993503248,0.6636002577253624,0.833739621034703,0.8198733439630811,0.8366236917416747,0.9187694272940174,0.9088933782314992,0.7870951969581924,0.8939117166986019,0.8816380577559484
acp_anticp,0.6630256341074208,0.8284343434343434,0.8284850992810201,0.6617912424061123,0.8237373737373737,0.8072453547797149,0.4252377321071903,0.698939393939394,0.6291375105064734,0.6133839421830067,0.8037878787878789,0.7981828270367886,0.5326828721841356,0.7637373737373737,0.7619355450254867
acp_iacp,0.7278163360400564,0.8534036649890308,0.8253617810760667,0.7358486610551512,0.8338043618531424,0.7973964798190429,0.314747032807194,0.6426732481610531,0.638849716129797,0.7597459588724039,0.8654084397986838,0.8412265617900019,0.6245856421306369,0.8114208284939991,0.7738431938431939
acp_mlacp,0.5372889102280712,0.7606966976970309,0.6746871439901939,0.5712117695525716,0.7448145605632283,0.6557759427246471,0.3295139348525062,0.675856681131498,0.5797488288045648,0.5740030435868256,0.7560912319714784,0.672641677297194,0.4938199405446122,0.738820448529809,0.6446205876640659
afp_amppred,0.6898894644245377,0.8446991044971007,0.8412464217016199,0.7639973512214138,0.8806204122918094,0.8748693765565829,0.4671418351447297,0.7313455492769826,0.7413089892749201,0.7758877274171606,0.8859744400285445,0.8795673333141506,0.7323974555010977,0.8652954764919363,0.8597631520172108
afp_antifp,0.6243285630410762,0.8117238619780632,0.8158312474299414,0.7233232162221939,0.861463776302782,0.8598959185902366,0.2674939978396894,0.6240632208256838,0.6796717937048838,0.7224978066901399,0.8611048345337288,0.8619235191330139,0.6910632886007182,0.8453337570023066,0.844794896114837
aip_aippred,0.1958639439021377,0.596584126984127,0.507997095264962,0.248230052498959,0.6026888888888889,0.4355836678748931,0.0310492176866064,0.5139555555555555,0.3633843578648961,0.2350517438220237,0.6046349206349207,0.4636805818414171,0.2087111424676784,0.5986,0.4834041415308261
aip_antiinflam,0.2728983427518164,0.6344490856603869,0.5560651410170452,0.2822538405939113,0.6296007070358753,0.5149583332879999,0.1157469904548024,0.5581716921991736,0.5301268831501675,0.2698479833558731,0.6189331179116214,0.4842076406241117,0.2370569752458883,0.6132241486249739,0.5109631519568698
amp_antibp,0.8333465643197812,0.9163726276396684,0.9153123552245956,0.859038432766716,0.9269179363806468,0.9225350019382188,0.6634783809557021,0.8151296444800856,0.8401452050339359,0.796498481363273,0.8978080727078321,0.8965311250141342,0.8137466977629902,0.9058941459502808,0.9044036854645888
amp_antibp2,0.7004256527885261,0.8499589868534592,0.8518978763657847,0.7760825919445338,0.8847610527384397,0.8769592041457746,0.48235581171261,0.7348020912644028,0.7577145885250276,0.7874714156780269,0.8927132379067052,0.8890906336285423,0.7518418071132145,0.8756125831176081,0.8737602271973728
amp_csamp,0.8656325519229442,0.9169871794871796,0.9514840714840714,0.7995502092689193,0.8881153846153846,0.928818191304318,0.0,0.5,0.77103294715235,0.79288562981805,0.873403846153846,0.9271668682195,0.8858647444660577,0.9432820512820512,0.957414076741808
amp_fernandes,0.4867566435624294,0.7396739130434782,0.7425406656678304,0.6152760583500699,0.8047101449275363,0.8078122400475343,0.2893739637796786,0.6244565217391304,0.7016851743619715,0.4727651459113895,0.731159420289855,0.7457222475553529,0.3618091272779786,0.6798913043478261,0.6871449275362319
amp_gonzales,0.836331890077639,0.891904761904762,0.8414141414141415,0.7869929946213994,0.8552380952380952,0.7918181818181818,0.701138740564204,0.8645238095238096,0.7305128205128206,0.8581577288026894,0.8966666666666667,0.8595959595959595,0.7651203980802179,0.8738095238095239,0.8072727272727273
amp_iamp2l,0.7198201625701972,0.8615929003429003,0.7945239542250253,0.7497694828584932,0.8746708156708156,0.8158960995162566,0.0406283474937067,0.5094157734157734,0.4238222046552521,0.7249386053398624,0.8523227583227584,0.7934513603618323,0.7309291225089746,0.8702287239787241,0.8037580872119735
amp_modlamp,0.8247281552939288,0.9125361961102604,0.9084510447964498,0.8447440393535448,0.9227422022519544,0.9198418825863875,0.720691038339967,0.860005327264157,0.8582803581254652,0.8230681685546848,0.9116385660455244,0.9087265124250172,0.8334916038519996,0.9171048690078736,0.91393561441926
anitinflamatory,0.3173656016403711,0.6508406391635335,0.5481218480797536,0.2539859014572532,0.6075465566067171,0.4448221708426562,0.0808368883380533,0.5413662761781012,0.4626578193185069,0.2621521607794345,0.6190733238656387,0.4864654697077748,0.2348798228282582,0.6102650364389263,0.4866903771882548
anti_MRSA,0.6753841902636146,0.7858643494124848,0.6999205342514363,0.6309474179894983,0.7226266748282664,0.6134299808718413,0.4489436284014101,0.7064393421110537,0.522311070927217,0.4967360144798723,0.6473257958559878,0.4487426603705673,0.6317105572972102,0.7551746942400711,0.645868709199586
antibacterial,0.7781283383482247,0.8890427922997214,0.8889450300744294,0.8284419108878363,0.9127798940408948,0.9090014772035636,0.5177893523155276,0.7497580892333289,0.7788037739026727,0.8439135827747102,0.9199080155289928,0.9157774344069431,0.8186282343883201,0.909156742122393,0.9079639543243652
anticancer_alternative,0.7478642338428368,0.8737113402061855,0.87292723270285,0.7634547939496922,0.8773195876288661,0.8672703612473175,0.5067811282773802,0.7510309278350515,0.7644322738565773,0.7785718351318237,0.8881443298969073,0.8838825899255823,0.7585938498429812,0.8783505154639176,0.8742491459697304
anticancer_main,0.4219199081920253,0.7107911009544294,0.7147205826258085,0.4759723468296584,0.7375252050006721,0.7293591079182062,0.3662506906924929,0.6730340099475736,0.7152205489389628,0.4875003680306514,0.7427275171394006,0.7319571536028098,0.4774957779812602,0.7386846350315903,0.7383116050486729
antidiabetic,0.268545155796653,0.6332003546099292,0.6267071820601606,0.2470001237601357,0.6224734042553192,0.621137269535007,0.1171114518237918,0.5573138297872341,0.5718449614104634,0.2254280711735705,0.611968085106383,0.6163143969418242,0.2885832882608728,0.64375,0.6489775931052946
antifungal,0.8220070477441919,0.9108750824831228,0.9108763287749128,0.8525180979570702,0.9244784528704126,0.9208570653497642,0.22885600685248,0.6128597533120146,0.6266615244043638,0.8380976067145992,0.9189305111415664,0.9192128423496944,0.8201483513286589,0.909867519415258,0.9087336884965832
antimalarial_alternative,0.7816326793675856,0.8662659508247744,0.8116569908079342,0.7725864815227219,0.8338204170557113,0.7872405764428932,0.0,0.5,0.2896004408928079,0.8177794175334965,0.8635294117647059,0.8327661759203883,0.7600348658047116,0.8625568004979771,0.7960818577625302
antimalarial_main,0.701469882540026,0.7938164056255435,0.703366841401994,0.6945322655875922,0.7502645502645502,0.6645468352785426,0.1363228640069362,0.6286979526109961,0.1543579654200668,0.7304515674385277,0.7784621578099837,0.7110380613943207,0.7431842696811731,0.8227834898800264,0.7458137979310882
antimicrobial,0.5890425381943153,0.7942665956182239,0.7899824532613631,0.6567781515644324,0.8247460847721131,0.8107649922069282,0.4545316844301555,0.7229040465406338,0.7475499779840864,0.642178534142622,0.8189409487894925,0.807898344554966,0.6017917148023575,0.8003147406975826,0.7940231436549162
antimicrobial_UniDL4BioPep,0.8562021994857621,0.9278495860882544,0.938468600444726,0.8857161842053054,0.9458328969567062,0.948610950867969,0.0,0.5,0.727462200413903,0.8705230908011231,0.9391785744916026,0.9396860736553428,0.8836818556659797,0.9438902926623962,0.9487818141983186
antioxidant,0.8244846109899108,0.9117924528301888,0.9101538300948936,0.8351947789289523,0.915566037735849,0.911334023998148,0.6508474452085438,0.8221698113207546,0.8094988711841292,0.8150942252624148,0.9070754716981132,0.9058605793815854,0.8412794412460505,0.9202830188679244,0.91874205394705
antioxidant_UniDL4BioPep,0.4671444837091173,0.7329897891346637,0.7212676578519275,0.489206308542294,0.738570959084288,0.7069104185017543,0.3639153381467083,0.6783119673531448,0.6431085722050534,0.4886130880271782,0.7437220522610082,0.7331741523294542,0.4785112847482167,0.7386762632180753,0.7274508566619365
antiparasitic,0.5011343049206488,0.7460517691973685,0.6158421327151551,0.5187273789611601,0.7078411613865199,0.5754697625170093,0.0826543227142833,0.5178513202415186,0.3959365897669899,0.5116437781076287,0.7162545776292182,0.5859524321139775,0.5107065280806599,0.7457125945224108,0.6193591053182275
antiviral,0.4624012927007024,0.7309801000196343,0.7279812274842241,0.5676970625219813,0.7744563020454361,0.7415278425412659,0.3469271599802564,0.6727235716018155,0.6865948011823793,0.5865552426562249,0.7878737742974948,0.7660796505591565,0.5207876322793006,0.7593421918852431,0.7481317184343447
atb_antitbp,0.5451036763636294,0.7723265306122449,0.7703974567579994,0.5888508989744299,0.780408163265306,0.7414193102715341,0.5010857340918711,0.7315918367346939,0.6675420531649984,0.5586591874832909,0.7785714285714287,0.7703992103531476,0.5294560895890903,0.7641224489795919,0.7601281748971054
atb_iantitb,0.3472664375082908,0.6726530612244899,0.6683271519513292,0.4753890768186204,0.7277551020408163,0.685694999910443,0.4036465718949345,0.6789387755102041,0.5837094017094018,0.4899079128449372,0.7438775510204081,0.7389896398725633,0.4126749201124856,0.7054285714285713,0.7007991608877486
avp_amppred,0.4917967183317141,0.7458402728907655,0.7428689994742058,0.5590329677934027,0.7773900078826188,0.7627312139440953,0.3142114184924077,0.6554793894880102,0.6686364870654261,0.568613739976145,0.783081340488976,0.7723232168994814,0.5254486821737192,0.7619668613018366,0.752100373062056
avp_avppred,0.4352062340781337,0.716107491685813,0.7605249546432614,0.5405042208740568,0.7698534919585811,0.804357356623821,0.2783971586252257,0.6379453991334362,0.6193231853161933,0.5435280651200203,0.7701288305584406,0.8077106336168821,0.4670472461996144,0.7339251618250296,0.7687751801458598
bce_ibce,0.227953326783651,0.6119584754740355,0.5462051115013333,0.1775025244927497,0.5824313069031778,0.4683398463300346,0.0446594726319533,0.5223313871909314,0.4675013733529444,0.2070568311187995,0.5972215116608242,0.4955931492708931,0.1843713144149613,0.5901292789723167,0.515329756119267
bitter,0.5712571603191611,0.784375,0.7785586330439577,0.5772175471693726,0.7875,0.7802201035781545,0.4274535404541701,0.703125,0.7425399119875478,0.6016406987804326,0.7984375,0.8048238942724707,0.6159571157553987,0.80625,0.8078200838423065
blood_brain_barrier,0.491192423034663,0.7436594202898551,0.7460599065986799,0.437781932011377,0.7184782608695653,0.7211745045844424,0.0828266167799033,0.5255434782608696,0.6670766914245176,0.4652977962450395,0.7309782608695652,0.7262501942501942,0.4322230545663014,0.7139492753623188,0.730217130387343
cpp_cellppd,0.6792820340677552,0.8395291772103366,0.8392542730867923,0.7532866953229821,0.8724024231270608,0.8619485612466675,0.4388244174825268,0.7112989801395597,0.7442623212322241,0.7366934930247611,0.8680507629782992,0.8667021955489338,0.71295566037159,0.8562725251131049,0.8545896656272708
cpp_cellppdmod,0.7664662947734754,0.8830304724629577,0.8828801654112214,0.8291524887124384,0.9138617090671884,0.911499982662122,0.7235026257680262,0.8611732364178548,0.85831895257039,0.8198617873274253,0.909724163638058,0.9087769449466896,0.7814171093158924,0.890550740844283,0.890509635427834
cpp_cppredfl,0.6971812061347865,0.8475338943431512,0.8509407138150925,0.7351556917218535,0.862669471715755,0.872872892511458,0.5267047893419731,0.7629967274427302,0.7622608850515504,0.6413141828577908,0.8172043010752688,0.8038489610477765,0.6285348975614491,0.8139784946236558,0.8142004677201742
cpp_kelmcpp,0.608481912944694,0.8034508450845085,0.8099497757727161,0.6813392972267136,0.8404419441944195,0.8427908998695841,0.4983672598710994,0.7421603160316032,0.77077475349614,0.6425459657636056,0.8203516351635163,0.8266250810381,0.5943102478720172,0.7953807380738074,0.8048089856344189
cpp_mlcpp,0.6293610193702092,0.8136462774414952,0.7718347678170638,0.7081694569596046,0.834244393732438,0.7988325526237893,0.2745886389209724,0.6164715056652519,0.613097438509987,0.6913772005862429,0.8333488783519438,0.7972051496391228,0.6924501019489911,0.8372427279692761,0.8020127251263485
cpp_mlcppue,0.1836450523479957,0.5912517780938834,0.592557587122988,0.2494039456427569,0.6229018492176387,0.5912774383859719,0.1957369477888527,0.5970128022759601,0.6286380286380286,0.1835569167352008,0.5912517780938833,0.5866106897797039,0.2100743087032939,0.6046941678520626,0.615594434139035
