name,mcc_mean,auc_roc_mean,f1_mean
DPPIV_inhibitory_activity,0.6944380469020182,0.8463214855320118,0.8447914063598245
HemoPI1,0.9380943310145022,0.9684995904995904,0.9677243725602814
HemoPI2,0.5521557269503385,0.7750698493980401,0.7971376035645343
HemoPI3,0.5542529701307846,0.7760962379788047,0.8002922046703984
Hemo_HAPPENN,0.6089764176059523,0.8009972253089886,0.7645836587732479
ace_inhibitory_activity,0.5937828247316417,0.7964642114642114,0.7958846732754982
ace_vaxinpad,0.8550913461992966,0.9257284082038181,0.9168572441444504
acp_anticp,0.8051159578766034,0.8996767676767679,0.8949349700456498
acp_iacp,0.8594051914717401,0.9186320815589107,0.9075869597229224
acp_mlacp,0.6036818158615065,0.785272822622756,0.7132520373514998
afp_amppred,0.8111190200767047,0.9032269034577542,0.8978570759109422
afp_antifp,0.8296488991854718,0.9144668832085865,0.9143015541070465
aip_aippred,0.2252616966127857,0.6008692063492064,0.46864120557090205
aip_antiinflam,0.3096925041886866,0.646325073898614,0.5520024127266447
amp_antibp,0.9340802949165863,0.9665891472868215,0.9659437651640106
amp_antibp2,0.8787106764522937,0.9381697274250037,0.9360545343093017
amp_csamp,0.9305879036222464,0.9655794871794873,0.9730484703605681
amp_fernandes,0.6022319440159973,0.7998550724637681,0.7993279947588404
amp_gonzales,0.6981015271291858,0.8281428571428572,0.7448282828282828
amp_iamp2l,0.7840430919215218,0.8781388300888301,0.8362956022340114
amp_modlamp,0.8781176189140799,0.938788262168336,0.9355267697940904
anitinflamatory,0.19115708784133775,0.5827996799950699,0.4192997558958316
anti_MRSA,0.8593842931619594,0.8903574940688375,0.8679089200554208
antibacterial,0.8742400327358044,0.9362892931681189,0.9344853923556207
anticancer_alternative,0.8399941952850523,0.9184536082474226,0.915398377941789
anticancer_main,0.44706433782499644,0.7231449119505309,0.721301228413665
antidiabetic,0.4492733483244865,0.7206205673758865,0.7328207546936206
antifungal,0.8856111214767868,0.9421851682655703,0.9410164962814432
antimalarial_alternative,0.873739529798198,0.9052933395580455,0.8866546080304294
antimalarial_main,0.6900829925338232,0.7662751244770404,0.6710870481612825
antimicrobial,0.6761440071266881,0.8344722750043184,0.8228275766082636
antimicrobial_UniDL4BioPep,0.9052854163545829,0.9528827815806915,0.9592941050598289
antioxidant,0.7903086174317795,0.894811320754717,0.8940440582453453
antioxidant_UniDL4BioPep,0.4468135115492351,0.722247721336106,0.7075636088423265
antiparasitic,0.5508013169589422,0.7462497849435937,0.6319012888362889
antiviral,0.6495168093642623,0.8241136250765162,0.8205366041809157
atb_antitbp,0.6714608325739049,0.8305224489795918,0.8159546453018216
atb_iantitb,0.5305245061128308,0.7637714285714285,0.7575122749954553
avp_amppred,0.7057452798735224,0.8518723887504676,0.8465300860095748
avp_avppred,0.6297785047313551,0.8139844049979542,0.8420698386359694
bce_ibce,0.14422354891423156,0.5683034727011405,0.4717045303054695
bitter,0.6143755104931623,0.8059375000000001,0.8033137546384357
blood_brain_barrier,0.5096289204721238,0.7510144927536231,0.7602999926360373
cpp_cellppd,0.7735162208518561,0.8861283643892339,0.8835663970925207
cpp_cellppdmod,0.8147591491047997,0.9068325412356723,0.9086415985141537
cpp_cppredfl,0.7840076499071815,0.8902758298270219,0.8939571805771177
cpp_kelmcpp,0.6945722872012858,0.8468143814381437,0.8490211992686246
cpp_mlcpp,0.7029054663581823,0.8441547692038188,0.8101565802995973
cpp_mlcppue,0.3336340166056252,0.6649928876244666,0.6476542145858942
cpp_sanders,0.2355190684802003,0.5940974967061925,0.8644582046550798
hem_hemopi,0.8713747493022229,0.9355157677571471,0.9320167172911253
hiv_apv,0.6881312508630423,0.8418988342636764,0.876449906170288
hiv_bevirimat,0.5991973545141815,0.7893829600351339,0.6967066194899012
hiv_idv,0.7814149298525542,0.8893270264681556,0.8921380716171952
hiv_lpv,0.7629479319366218,0.8797108596010197,0.8674050342893931
hiv_nfv,0.7818030643798644,0.891386646510456,0.8644521117034548
hiv_protease,0.3535941632658192,0.6215885924962047,0.3462549189819444
hiv_rtv,0.8116993780911255,0.9055830155947048,0.9028448598108367
hiv_sqv,0.771924454358372,0.8876067226890756,0.9075240854487812
hiv_v3,0.8499543226891972,0.9125056465273857,0.8701509323683132
isp_il10pred,0.3677217079619302,0.6578805964450045,0.505597832255015
nep_neuropipred,0.7411393986401521,0.8689142857142859,0.867042660308007
neuropeptide,0.7494612254367317,0.8743505154639177,0.8748033733142038
pip_pipel,0.2295519495804979,0.5785401418407243,0.30768611607394475
quorum_sensing,0.8161904162126046,0.9050644316923387,0.9106694487963974
tce_zhao,0.20199606290907113,0.5868652915711741,0.2555915195915196
toxic,0.8429249163197271,0.921166807245853,0.9206704748171337
toxic_PLPTP,0.8112730919714201,0.8971303680545978,0.8619226202383515
tumor_t_cell_antigens,0.2926313869569547,0.6326854129501882,0.7489226027985249
umami,0.6225735898709057,0.7977728337236534,0.7276554341275132
