name,mcc_mean,auc_roc_mean,f1_mean
DPPIV_inhibitory_activity,0.6359927545196449,0.8169879243563454,0.8147590926496285
HemoPI1,0.9017017207305045,0.9505241605241604,0.9504940198561777
HemoPI2,0.49906767551958053,0.7480687570140585,0.775636559263126
HemoPI3,0.4685346704864523,0.7328947557034724,0.7629934949919777
Hemo_HAPPENN,0.5412987490069356,0.7687667502750326,0.7269292629711397
ace_inhibitory_activity,0.49723032329719385,0.7481152361152361,0.7450140945094776
ace_vaxinpad,0.80864452523672,0.9021420765027323,0.8907425047788193
acp_anticp,0.7772519294858988,0.8863232323232324,0.8847470998123711
acp_iacp,0.8257463553746988,0.9051806684733515,0.8899705947733247
acp_mlacp,0.5704519085637263,0.7712582872679475,0.6923464659389239
afp_amppred,0.7636846551952899,0.8807117221849012,0.8768708865082431
afp_antifp,0.7933305099407765,0.896356211457892,0.897196847425936
aip_aippred,0.13664380885231778,0.5589644444444446,0.39854280346936005
aip_antiinflam,0.27093048197286534,0.6258098709287216,0.5180607991784019
amp_antibp,0.8996873016020958,0.9493664795509222,0.9486529729914027
amp_antibp2,0.842777848979176,0.920966529617786,0.9198296678365399
amp_csamp,0.908508926516616,0.9485538461538463,0.9659863007547802
amp_fernandes,0.5136255215171366,0.7548550724637682,0.7481834047889906
amp_gonzales,0.7081407501796395,0.8318095238095239,0.725056721056721
amp_iamp2l,0.7412234025688058,0.8633238626238626,0.807335765546925
amp_modlamp,0.8335679391175195,0.9171034911709661,0.9134793032068391
anitinflamatory,0.11879297615193589,0.5499220606673774,0.35894834183201435
anti_MRSA,0.8264438258170459,0.8792118455217224,0.8417809469563767
antibacterial,0.8528480960765357,0.9260564239531794,0.9246610389652774
anticancer_alternative,0.8005833557792744,0.9,0.8991791381472366
anticancer_main,0.4515540076580156,0.724866917596451,0.7164130986233387
antidiabetic,0.3767716468028115,0.6845478723404254,0.6955175391353379
antifungal,0.8575277003230637,0.9285894117049895,0.9285645381253886
antimalarial_alternative,0.8102725534432954,0.8758482726423902,0.8316969009715409
antimalarial_main,0.6345378551634246,0.7292783450889567,0.6042220058331977
antimicrobial,0.6459867794933967,0.8210938629955702,0.8116792942241553
antimicrobial_UniDL4BioPep,0.8702020443735229,0.9348621559806046,0.9442708714462562
antioxidant,0.6000511863104492,0.799622641509434,0.7971041366391756
antioxidant_UniDL4BioPep,0.3829378794822772,0.6908537037119233,0.6783037535888553
antiparasitic,0.4930201281508241,0.7162132663176608,0.5808218737979091
antiviral,0.6188967628374067,0.8089979557187901,0.8052501537002199
atb_antitbp,0.6454915617300837,0.8211591836734694,0.8134560185629326
atb_iantitb,0.4838189259763196,0.7395510204081632,0.729078179613839
avp_amppred,0.6516144135257882,0.8254935723901241,0.8240270687456359
avp_avppred,0.5641927340780674,0.77965006452019,0.8162709575188041
bce_ibce,0.09516598313707518,0.5449029418606159,0.4370195297569941
bitter,0.532279507225242,0.765625,0.7610960255019572
blood_brain_barrier,0.3573683802368851,0.6755072463768116,0.6872294325085351
cpp_cellppd,0.762369793496428,0.8808028525419831,0.8795497202080625
cpp_cellppdmod,0.7777597509517014,0.8885108563973535,0.8893364525018066
cpp_cppredfl,0.789970845745254,0.8922440392706873,0.8961267878965788
cpp_kelmcpp,0.6283201922729932,0.8133622562256226,0.8133551699892327
cpp_mlcpp,0.6860163219287125,0.8344721795457539,0.7983343208747117
cpp_mlcppue,0.2838762117366692,0.6413940256045519,0.6338848639017829
cpp_sanders,0.10214149975714366,0.5415358554488989,0.856115447096145
hem_hemopi,0.8323569638597265,0.9164175613658372,0.9124984661351727
hiv_apv,0.7102162682647606,0.8564007393109817,0.8807547076027038
hiv_bevirimat,0.5305423341927266,0.7484848484848484,0.6378779943826384
hiv_idv,0.8196967909384986,0.9092607871519162,0.911234944754019
hiv_lpv,0.822298763177751,0.9083215343489943,0.8989442995858642
hiv_nfv,0.8130444383648529,0.908236860670194,0.8844422723492542
hiv_protease,0.17912460902661276,0.5553285079158534,0.18427606828312934
hiv_rtv,0.8697596807542635,0.9344818309166645,0.9316720493902617
hiv_sqv,0.7530274795339638,0.8785065444359562,0.8981154695241506
hiv_v3,0.8472518831357638,0.9084396762657633,0.8670606221914806
isp_il10pred,0.3103258820181389,0.6280954411874854,0.4423327944323212
nep_neuropipred,0.6648544575322466,0.8293714285714285,0.8330430426971098
neuropeptide,0.6513904486958702,0.824659793814433,0.8287450904058533
pip_pipel,0.1470079709417619,0.5454568449438121,0.2146295417462683
quorum_sensing,0.7683839829267691,0.8821675224000807,0.8855200590801152
tce_zhao,0.19381322670685944,0.5825369238604533,0.25375634169751815
toxic,0.7516421289573937,0.8747381880012318,0.8777346708177864
toxic_PLPTP,0.7132256896872361,0.8483677334170812,0.7891027996088945
tumor_t_cell_antigens,0.2618722651474519,0.6199767309098808,0.7362527001988803
umami,0.5086640187230401,0.7369211553473848,0.6380418537532757
