name,mcc_mean,auc_roc_mean,f1_mean
DPPIV_inhibitory_activity,0.6537908806525455,0.8255422647527911,0.8236119692241658
HemoPI1,0.9520762666133479,0.9759295659295659,0.975717797512071
HemoPI2,0.5344389645822282,0.7642685943625636,0.7940617232685321
HemoPI3,0.5476840669755119,0.7714831804541247,0.8000395604968549
Hemo_HAPPENN,0.6084700054570661,0.8032859710561681,0.7687211717668816
ace_inhibitory_activity,0.6081072858480955,0.8034740124740125,0.7992077157777473
ace_vaxinpad,0.8769327388962518,0.9364980483996878,0.9295112830826818
acp_anticp,0.8162842523955713,0.9044444444444444,0.8975899096733523
acp_iacp,0.8590143946588442,0.9188088785649761,0.9073836906066219
acp_mlacp,0.6259096375849679,0.7938517294776455,0.7262903625310606
afp_amppred,0.8178786324810419,0.9076658594820153,0.9042080282649492
afp_antifp,0.8396508826758422,0.9194826531092595,0.9189477996385232
aip_aippred,0.14546116013510452,0.562670476190476,0.4045922877308801
aip_antiinflam,0.27168876766478,0.6263164782749288,0.5201465546692458
amp_antibp,0.9421978012196476,0.9709836941994119,0.9707326007949195
amp_antibp2,0.8898480415983105,0.9442721740013198,0.9428678399018091
amp_csamp,0.9422769513417382,0.9682371794871795,0.9782895089982453
amp_fernandes,0.5660012095260039,0.7805434782608694,0.7755884547808692
amp_gonzales,0.8305855939071078,0.8902857142857142,0.8453348873348873
amp_iamp2l,0.7805853523973523,0.877743983043983,0.8343864715988737
amp_modlamp,0.880287899062935,0.940054756465932,0.9370264934960802
anitinflamatory,0.14181332491204227,0.560900165437746,0.3854709386324647
anti_MRSA,0.8665808923193736,0.8974514364815505,0.8766704655701586
antibacterial,0.8697476865344628,0.9343076170877301,0.9331005837345476
anticancer_alternative,0.8478293125595444,0.9229896907216494,0.9207141395374506
anticancer_main,0.45613160931217617,0.7275426804678048,0.7215029796748322
antidiabetic,0.40667411401520415,0.6996808510638297,0.7148761595957961
antifungal,0.9025194678708504,0.9506481904471855,0.9496183861644724
antimalarial_alternative,0.8368861133185221,0.8878543417366946,0.853752296415989
antimalarial_main,0.6589902918929331,0.7501214552798932,0.6388106116660816
antimicrobial,0.6662320777382191,0.830673574371031,0.8223249145779873
antimicrobial_UniDL4BioPep,0.8907907539376062,0.9461653716020733,0.9517933307766908
antioxidant,0.8215174880381093,0.910377358490566,0.9089720992168189
antioxidant_UniDL4BioPep,0.4480237044600123,0.7227745258902034,0.7099082729695958
antiparasitic,0.5389122225989069,0.7388717321667034,0.6193868577887494
antiviral,0.6356085073962308,0.8165708048924152,0.8126851323049312
atb_antitbp,0.6443643431593702,0.8182612244897957,0.8048902388626502
atb_iantitb,0.5029145323506914,0.7480408163265306,0.7364612263722152
avp_amppred,0.6957648963571013,0.8473077808631995,0.845198332542382
avp_avppred,0.6104487650844338,0.8025417387928954,0.8370926909313582
bce_ibce,0.12458667187954893,0.5585400384862791,0.4637319984274152
bitter,0.6263217853774428,0.8125,0.8092897595927007
blood_brain_barrier,0.4427417438840332,0.717536231884058,0.7255057264062189
cpp_cellppd,0.7749640117961325,0.8871160187102216,0.8858480632996539
cpp_cellppdmod,0.8112294473534313,0.9053331469574133,0.906290681320043
cpp_cppredfl,0.8055448923657478,0.9004230949041607,0.9044652284408183
cpp_kelmcpp,0.6975353507092137,0.8479532353235323,0.8455023511764971
cpp_mlcpp,0.7161964930215223,0.8500115956369786,0.8181006286186004
cpp_mlcppue,0.3281096432130472,0.6627880512091038,0.6609233462704402
cpp_sanders,0.15786980089882469,0.5505044231131188,0.8657138332910905
hem_hemopi,0.8865042696785892,0.9436470253884048,0.9406815633050595
hiv_apv,0.6938189769789618,0.8477938937975681,0.8733371637534599
hiv_bevirimat,0.49245009643085436,0.7436517347386912,0.6234788397017498
hiv_idv,0.8308119080480931,0.914425772480208,0.9153886308208845
hiv_lpv,0.8370629410719369,0.913878601713842,0.9055324875292243
hiv_nfv,0.8476913904948187,0.9214972789115645,0.9044711710090644
hiv_protease,0.4050292411376657,0.6388452342225114,0.39967015139766027
hiv_rtv,0.8701602013707825,0.9342912805098662,0.9310031378743542
hiv_sqv,0.8019955360510063,0.9042161446396738,0.9182499362441312
hiv_v3,0.8519926435351008,0.9116128364389233,0.8712982459944507
isp_il10pred,0.3082292638257396,0.6255511858552125,0.43359138816837745
nep_neuropipred,0.7372754587994859,0.8669714285714285,0.862972765902064
neuropeptide,0.7098334693095797,0.8535257731958763,0.8561571856965067
pip_pipel,0.17701069125223418,0.560060533911175,0.25197227563166635
quorum_sensing,0.8172550649476863,0.9075817980469143,0.9099659274085002
tce_zhao,0.2821908353978366,0.6115692640692642,0.32597443079796024
toxic,0.8297152218202969,0.9145413771404854,0.9137422532501482
toxic_PLPTP,0.7994066172948907,0.8908336255177189,0.8531337514990417
tumor_t_cell_antigens,0.3264719027764218,0.6482363509000055,0.7476196640099311
umami,0.5910885519778418,0.7753387978142077,0.6976327409553085
