name,mcc_max,auc_roc_max,f1_max
DPPIV_inhibitory_activity,0.6572750767882118,0.827671451355662,0.8267807230508227
HemoPI1,0.9260904637416008,0.9628337428337428,0.96258993564049
HemoPI2,0.5340997648636284,0.7652401349456049,0.7926033392157338
HemoPI3,0.5186447748639844,0.7596107203552723,0.778609503063516
Hemo_HAPPENN,0.577741003828357,0.7859381580520755,0.746095385978183
ace_inhibitory_activity,0.5287919660983329,0.7632877932877934,0.7583227424630763
ace_vaxinpad,0.8386296092935097,0.916525086934923,0.9073830612336468
acp_anticp,0.8110443128671285,0.9041414141414142,0.90272751485792
acp_iacp,0.8591241777426571,0.9202864885791716,0.906472387627426
acp_mlacp,0.6465252684930778,0.798657561625583,0.7353174603174603
afp_amppred,0.7948931080106469,0.8957215357169337,0.8908760565281166
afp_antifp,0.8142563157252868,0.9070599726968884,0.90690145430477
aip_aippred,0.1817867821392703,0.5665968253968254,0.4765015423698058
aip_antiinflam,0.2885391955757401,0.6354391487555715,0.5419816590580719
amp_antibp,0.9197866670730152,0.9593557872226676,0.9587606202147754
amp_antibp2,0.8697581959571835,0.9343314552560784,0.9327617784266552
amp_csamp,0.9276791468231848,0.9595,0.9729958166140186
amp_fernandes,0.5590607289149195,0.7791666666666667,0.783441258094357
amp_gonzales,0.7732882801212224,0.8688095238095238,0.7957264957264958
amp_iamp2l,0.7640130910185878,0.8721958176958177,0.8235082135155528
amp_modlamp,0.851774626029103,0.9261589309770648,0.9226833633514332
anitinflamatory,0.135030554318919,0.5593336901529554,0.4468544323242119
anti_MRSA,0.8428179887886303,0.9159825725842264,0.8596188972116103
antibacterial,0.8734137848624306,0.9360951661631418,0.9343696540446044
anticancer_alternative,0.8212118534801242,0.9103092783505154,0.9090389014707771
anticancer_main,0.4986258956446027,0.7468040059147734,0.7294198052502959
antidiabetic,0.4338747688799607,0.709441489361702,0.7298996826160818
antifungal,0.8794549606699832,0.9395614435815444,0.939286589214408
antimalarial_alternative,0.8688787230536125,0.9225669156551508,0.8876770641114
antimalarial_main,0.6868648254162941,0.8124775317479813,0.7001308047419131
antimicrobial,0.6762458071372676,0.8347857274609062,0.8223487493164011
antimicrobial_UniDL4BioPep,0.9031846677653832,0.9515536500205009,0.9585455211934912
antioxidant,0.6288517457870103,0.8141509433962264,0.8138671507503361
antioxidant_UniDL4BioPep,0.4461497595966305,0.7221072364023016,0.7075472936408278
antiparasitic,0.5310351463915373,0.747396076551888,0.616983188953075
antiviral,0.658566178525386,0.828120993728561,0.8209374339943247
atb_antitbp,0.6908152556561579,0.843591836734694,0.8358641796799692
atb_iantitb,0.5102887534645264,0.754,0.7486373584726894
avp_amppred,0.6907400204509365,0.8452235715659361,0.8441224968434469
avp_avppred,0.604264775644936,0.8013918788489178,0.8304201663378408
bce_ibce,0.1174999879357453,0.5582017316779185,0.5021078847741876
bitter,0.5635708195393587,0.78125,0.776950759062094
blood_brain_barrier,0.4400943504796341,0.7143115942028986,0.7389927573850199
cpp_cellppd,0.7915068057887431,0.8953147764741967,0.893574899346496
cpp_cellppdmod,0.8023102519180751,0.9008200540490168,0.9010418506579396
cpp_cppredfl,0.809083084773729,0.9037283777466106,0.9055714866268396
cpp_kelmcpp,0.6500277891039337,0.8244611461146114,0.8272056721472183
cpp_mlcpp,0.7214189192351439,0.8534411108138883,0.8222858393239834
cpp_mlcppue,0.2950646632479944,0.6471550497866287,0.6433693661763836
cpp_sanders,0.234534345514744,0.6021456804065499,0.8686086956521738
hem_hemopi,0.8575955215993136,0.9291788766788768,0.9257757058987014
hiv_apv,0.7322179515960625,0.8695516112400584,0.8871500184948695
hiv_bevirimat,0.5906024407141572,0.7792874396135264,0.6713725490196077
hiv_idv,0.8407458205326132,0.9196387584190004,0.9218511244763152
hiv_lpv,0.8412144104037402,0.9191385435779028,0.9113883028264052
hiv_nfv,0.8442653343689042,0.9253336482741245,0.9034805893630052
hiv_protease,0.309198622480872,0.6393393515506398,0.394737539097972
hiv_rtv,0.8877459925142495,0.943900809885614,0.9418460782646486
hiv_sqv,0.7878240208916004,0.8933043035395976,0.9156556267209024
hiv_v3,0.8598207382938907,0.9176124600037644,0.8785717454019885
isp_il10pred,0.3648834599278728,0.6813426768355457,0.5649967225455589
nep_neuropipred,0.7239429212486372,0.8611428571428572,0.8565840585182294
neuropeptide,0.6960939748740136,0.8478350515463917,0.8498327511650461
pip_pipel,0.1656830492430137,0.5806615684294062,0.3718748516854233
quorum_sensing,0.8050398548279114,0.8999244941105407,0.9053846353125786
tce_zhao,0.33529451427396,0.6636841100076394,0.4346907993966817
toxic,0.7864542573262787,0.893109611599791,0.8942108472191457
toxic_PLPTP,0.7589055134497021,0.8664550604262284,0.8221133568057397
tumor_t_cell_antigens,0.3033060259779335,0.6439218672632356,0.7685198212093017
umami,0.5522268919423168,0.7512529274004682,0.6624123954000586
