name,mcc_max,auc_roc_max,f1_max
DPPIV_inhibitory_activity,0.6943727033674296,0.8464684438368648,0.848158743507178
HemoPI1,0.9567087782395974,0.9782882882882884,0.978106644481054
HemoPI2,0.5562992640738896,0.7760475629269459,0.8025072975942029
HemoPI3,0.5890645081907032,0.7927299424121458,0.8170779792744458
Hemo_HAPPENN,0.6346495743070797,0.815053340184375,0.7818836262300118
ace_inhibitory_activity,0.6666368305233448,0.832958122958123,0.829523307493776
ace_vaxinpad,0.9211599318886202,0.9575356610602512,0.9543217284014676
acp_anticp,0.8445790601425858,0.9196464646464648,0.9149872116913944
acp_iacp,0.8745948821871684,0.9309265711704736,0.920999740999741
acp_mlacp,0.6805832046844754,0.8156445702864756,0.7626045011470823
afp_amppred,0.847200890640204,0.9219207302809966,0.9184091683214048
afp_antifp,0.8585133653653569,0.9290177940968788,0.9280092401149146
aip_aippred,0.1925364338602161,0.5713650793650794,0.5103556752552885
aip_antiinflam,0.3082814606839987,0.6424432670155856,0.5564752930369071
amp_antibp,0.9560984144007364,0.9779604383854584,0.9777361781105752
amp_antibp2,0.9074832867586052,0.9529194964722604,0.9514258122672906
amp_csamp,0.9686791468231848,0.98,0.9885312615612282
amp_fernandes,0.6235699075125201,0.8090579710144927,0.8050611605711608
amp_gonzales,0.8454049778203687,0.9257142857142856,0.8595959595959595
amp_iamp2l,0.8205584889235293,0.9007475294975296,0.865979612809981
amp_modlamp,0.9032854678965412,0.9510400158423352,0.948400525835826
anitinflamatory,0.2031243173000764,0.5779554952638852,0.4787980772687426
anti_MRSA,0.8892897580579007,0.9111324219547032,0.8982456488897167
antibacterial,0.9035247011008056,0.9511356305734344,0.9498170180582534
anticancer_alternative,0.8729981491774138,0.9350515463917526,0.9323908938355188
anticancer_main,0.5052904732405282,0.75146525070574,0.7396035655764971
antidiabetic,0.4887796819066242,0.739095744680851,0.7572259444898408
antifungal,0.9244504945728768,0.9617379828435104,0.9608582801402928
antimalarial_alternative,0.8977274988123621,0.9364923747276688,0.9129222629222628
antimalarial_main,0.7351053086978468,0.8092805090594333,0.7220690291620524
antimicrobial,0.7145033842787396,0.8530491785999749,0.840945731565484
antimicrobial_UniDL4BioPep,0.922402584335523,0.961375581620781,0.9666960071984584
antioxidant,0.8658469021269661,0.9325471698113208,0.9313761403948568
antioxidant_UniDL4BioPep,0.5111673781876332,0.7538799087474112,0.7375655951107817
antiparasitic,0.5885137419248536,0.7586790621082902,0.6554604874364045
antiviral,0.7221585414614415,0.859200997886421,0.8516869678619985
atb_antitbp,0.6887718597386036,0.8395102040816326,0.8245393568598258
atb_iantitb,0.5493963664896453,0.7702448979591837,0.7488132620530925
avp_amppred,0.7669863208383996,0.8824868473329064,0.8777033254731228
avp_avppred,0.6708070574635749,0.8357053158341989,0.858293695888268
bce_ibce,0.1685220582950191,0.5777759814785635,0.5074545760222842
bitter,0.6754373607855142,0.8375,0.8357519962667833
blood_brain_barrier,0.4787917010718944,0.7351449275362318,0.7338259319538091
cpp_cellppd,0.811210658285302,0.905221992178514,0.903268840264544
cpp_cellppdmod,0.8238060687524147,0.9117696393625944,0.9122037923002492
cpp_cppredfl,0.8220445025702157,0.910144927536232,0.9119435131900816
cpp_kelmcpp,0.7152570577500625,0.8574320432043203,0.8577593782271183
cpp_mlcpp,0.7458401217804006,0.8648734856429522,0.8372266478897211
cpp_mlcppue,0.3986533666823845,0.6979374110953058,0.6854477548595195
cpp_sanders,0.2850646065032159,0.6073028420854507,0.8744125650260104
hem_hemopi,0.9028284727059952,0.951957601785188,0.9493274064907556
hiv_apv,0.7219567331071901,0.8610756304710782,0.8869655016943303
hiv_bevirimat,0.5423306498500062,0.7656126482213439,0.6561764705882352
hiv_idv,0.8465785934903473,0.9229366433297884,0.9239441318034298
hiv_lpv,0.8524303097750755,0.9213684622837942,0.9140685904997996
hiv_nfv,0.8730861710072766,0.9293068783068784,0.9180933271595412
hiv_protease,0.5503534702319005,0.7514626707872478,0.6084772326816007
hiv_rtv,0.9081166696773082,0.9528480513576948,0.950494881270974
hiv_sqv,0.8251272979296166,0.9149905780494016,0.9288220847239156
hiv_v3,0.8679909486414672,0.918914925654056,0.8856028022610302
isp_il10pred,0.34176354134208,0.6688873712918618,0.5446685164383255
nep_neuropipred,0.7773708856289332,0.8862857142857143,0.8797162963957431
neuropeptide,0.7877126639646506,0.8938144329896908,0.8933996880691973
pip_pipel,0.2196016349308867,0.6021408047902987,0.3978118920031234
quorum_sensing,0.8359203822538518,0.9163117889862076,0.9190628797170683
tce_zhao,0.3783112111980492,0.6673605805958747,0.4657142857142857
toxic,0.8632941463276971,0.931414092728709,0.9303808249191604
toxic_PLPTP,0.8390299219728886,0.9124338182260552,0.8821606245920102
tumor_t_cell_antigens,0.4163830775740932,0.6778542750752703,0.803274060267744
umami,0.6414163464782209,0.812736143637783,0.7494246884510576
