name,mcc_max,auc_roc_max,f1_max
DPPIV_inhibitory_activity,0.6987651534079949,0.8487696514012303,0.8522379362619448
HemoPI1,0.9494768064053865,0.9746683046683048,0.9745199113450524
HemoPI2,0.5653640098892625,0.7821366789459356,0.8021425889813715
HemoPI3,0.5681578984977389,0.783072136946229,0.8076924057120614
Hemo_HAPPENN,0.6530134768916235,0.8238131163938937,0.7922819984721483
ace_inhibitory_activity,0.6532264829531153,0.8264166914166914,0.8256533540610587
ace_vaxinpad,0.9002928640226304,0.947340855865446,0.9424303404416892
acp_anticp,0.8589467715493244,0.9264141414141416,0.9236236132070176
acp_iacp,0.888654769211341,0.930952380952381,0.9248992888560036
acp_mlacp,0.6560911377599541,0.8122654941750543,0.7524536452032773
afp_amppred,0.8337568091565684,0.9152529612042116,0.9110807063561877
afp_antifp,0.8713720485792951,0.9355246434119476,0.9349442485166752
aip_aippred,0.2743845716717154,0.6133904761904762,0.4895864855689587
aip_antiinflam,0.3341009444831659,0.6589891948923667,0.5692218530832773
amp_antibp,0.9515053064720675,0.9756214915797916,0.9752720179421996
amp_antibp2,0.9104350805135027,0.9544195472311052,0.9530051887674184
amp_csamp,0.9478575910896394,0.9694871794871796,0.980978716272834
amp_fernandes,0.657374143257054,0.8262681159420289,0.8296231967964489
amp_gonzales,0.8636964040525802,0.916904761904762,0.8819891219891222
amp_iamp2l,0.8300580587430755,0.9021355131355132,0.8718838109947441
amp_modlamp,0.9085479399883004,0.9538174728686062,0.9514468275728678
anitinflamatory,0.2151046563565451,0.5881422466111098,0.4854687945431905
anti_MRSA,0.8768411097588069,0.9284305723921888,0.8916686366205868
antibacterial,0.9018009519576332,0.9502900739962344,0.9489663008168184
anticancer_alternative,0.8707983950106707,0.9340206185567008,0.9313006210415586
anticancer_main,0.5036648040056491,0.7514585293722276,0.7455853497971646
antidiabetic,0.4755975384662759,0.7371897163120569,0.7423720063347149
antifungal,0.924273679678304,0.9617303690168012,0.9609269068629612
antimalarial_alternative,0.911391372032646,0.9416830065359476,0.9240911878378186
antimalarial_main,0.7587628124588814,0.8335547016645026,0.747088632554471
antimicrobial,0.722190714160222,0.8566764553463464,0.8446203381554142
antimicrobial_UniDL4BioPep,0.9265858400474676,0.96283408006441,0.9686589619479709
antioxidant,0.8806651866348071,0.9396226415094338,0.9389911276228812
antioxidant_UniDL4BioPep,0.5445723366431986,0.771390891805046,0.7605669607865391
antiparasitic,0.5847629995576433,0.7593921277066384,0.6551539877512365
antiviral,0.7208478629863554,0.8585244794012683,0.8509944524176138
atb_antitbp,0.6979478367836554,0.8435102040816327,0.8289760997106397
atb_iantitb,0.5651083254529314,0.7805714285714286,0.774567326303402
avp_amppred,0.7389903978855894,0.8688616827594661,0.864437361192231
avp_avppred,0.655694576950609,0.8257363694541487,0.8551644822077366
bce_ibce,0.2024376633526632,0.5941901885227395,0.4950783632091045
bitter,0.6887503228350733,0.84375,0.8454439392503271
blood_brain_barrier,0.4802171573195689,0.7273550724637682,0.7580169160702667
cpp_cellppd,0.8344960040692262,0.9163637757840656,0.913659156863195
cpp_cellppdmod,0.8238406032050015,0.911778958158606,0.9121061626370413
cpp_cppredfl,0.8353297437294456,0.9166783543712016,0.9189635576520032
cpp_kelmcpp,0.7172627455806162,0.8583627362736272,0.8607970619474937
cpp_mlcpp,0.7657083638368434,0.8771316205405721,0.8515453801290379
cpp_mlcppue,0.4282033905812393,0.7135135135135136,0.7148161807750849
cpp_sanders,0.278192944453477,0.61446452098626,0.8655805471124619
hem_hemopi,0.8935721673282414,0.9471773820049684,0.9443365687015012
hiv_apv,0.6962584385588643,0.848429206134122,0.8776525198938991
hiv_bevirimat,0.5186019585521333,0.7510759771629336,0.6383900928792569
hiv_idv,0.8221489912650926,0.9101334239237464,0.912024719634205
hiv_lpv,0.8112755083770622,0.9024190323046156,0.8917192593663182
hiv_nfv,0.8800859615321815,0.9371131267321744,0.9245160708213126
hiv_protease,0.5465835771171136,0.746625867490783,0.6031565650078974
hiv_rtv,0.9241836095512198,0.9616055773566,0.9599918377667602
hiv_sqv,0.8174608779202865,0.9118212375859436,0.9271123173961282
hiv_v3,0.8717689503954352,0.9234801430453604,0.8887799145450817
isp_il10pred,0.4143789263223037,0.7039916081779877,0.5960267927930591
nep_neuropipred,0.783017824538889,0.8897142857142859,0.8845051128815943
neuropeptide,0.7825891720606154,0.8911340206185567,0.8910227804513738
pip_pipel,0.2756187275478589,0.6182292080075078,0.4345811868618862
quorum_sensing,0.8621190267715091,0.9305446491493002,0.9321141676352834
tce_zhao,0.3202574054120368,0.648389355742297,0.3880952380952381
toxic,0.869430572790486,0.9345202233200788,0.9337310286118076
toxic_PLPTP,0.8406183765211589,0.9137246988868626,0.8828268920452343
tumor_t_cell_antigens,0.459356435768539,0.6958049993387021,0.8149212728690131
umami,0.689328809876264,0.8430015612802497,0.7834719923498473
