Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.19586394390213777,0.038364645291195466,0.596584126984127,0.018407321053861794,0.507997095264962,0.02584403731539792
SVM,0.24823005249895908,0.05834778906162226,0.6026888888888889,0.023956664074748106,0.43558366787489317,0.03906259385871389
KNN,0.031049217686606446,0.05368475399838276,0.5139555555555555,0.0254499472210661,0.36338435786489615,0.04668085662508239
Random Forest,0.23505174382202373,0.03504713920559979,0.6046349206349207,0.01807960895636617,0.4636805818414171,0.03828673097643374
XGBoost,0.20871114246767847,0.06224388855811503,0.5986,0.02927178212068814,0.48340414153082617,0.04280626680588073
