Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.7630263900199982,0.026270394118131618,0.8814723326772971,0.01312646164338438,0.8817282944632568,0.012932268327512562
SVM,0.8387400202704404,0.01457695410942641,0.919250645994832,0.007246361705914933,0.91871559579414,0.0075501780355433324
KNN,0.728253232743841,0.01657255126819198,0.8625831760185296,0.008688169731077222,0.8682661013972492,0.007134010323471574
Random Forest,0.844565009049137,0.00760473954575482,0.9220990480780816,0.0038474074283626446,0.9230451028509753,0.0035986899879351395
XGBoost,0.8289203950953103,0.022364624019323383,0.914339746421925,0.011202556061534839,0.9145137173490948,0.011208068368737967
