model,params,n_clusters,separation_ratio,cv,min_cluster_size,min_cluster_ratio,silhouette,davies_bouldin,calinski_harabasz
KMeans,"{'n_clusters': 3, 'init': 'k-means++'}",3,1.1146969884802995,0.5026460593776997,7,0.1,0.2626637155818458,1.2771909394127745,25.76960363532112
KMeans,"{'n_clusters': 3, 'init': 'random'}",3,1.1146969884802995,0.5026460593776997,7,0.1,0.2626637155818458,1.2771909394127747,25.76960363532112
Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 15}",3,0.9664283707363974,0.5656854247068014,6,0.08571428571428572,0.25729347436347705,1.2683358946123318,24.314399121786035
Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 25}",3,0.9664283707363974,0.5656854247068014,6,0.08571428571428572,0.25729347436347705,1.2683358946123318,24.314399121786035
Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 50}",3,0.9664283707363974,0.5656854247068014,6,0.08571428571428572,0.25729347436347705,1.2683358946123318,24.314399121786035
Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 100}",3,0.9664283707363974,0.5656854247068014,6,0.08571428571428572,0.25729347436347705,1.2683358946123318,24.314399121786035
KMeans,"{'n_clusters': 4, 'init': 'random'}",4,0.7312937691930581,0.47894441727603776,7,0.1,0.26687647811540716,1.2686446369455957,24.203301697492623
KMeans,"{'n_clusters': 4, 'init': 'k-means++'}",4,0.6885831846782812,0.48906407882406877,6,0.08571428571428572,0.27551495992286046,1.236403281037716,24.756397111155053
GaussianMixture,"{'n_components': 3, 'covariance_type': 'tied', 'reg_covar': 1e-06}",3,0.6039634212344936,0.4952838804551559,7,0.1,0.18578133047551135,1.9377443576889037,17.621373887413956
GaussianMixture,"{'n_components': 3, 'covariance_type': 'tied', 'reg_covar': 1e-05}",3,0.6039634212344936,0.4952838804551559,7,0.1,0.18578133047551135,1.9377443576889037,17.621373887413956
