name,Logistic_Regression_MCC_mean,Logistic_Regression_MCC_std,Logistic_Regression_AUC-ROC_mean,Logistic_Regression_AUC-ROC_std,Logistic_Regression_F1_mean,Logistic_Regression_F1_std,SVM_MCC_mean,SVM_MCC_std,SVM_AUC-ROC_mean,SVM_AUC-ROC_std,SVM_F1_mean,SVM_F1_std,KNN_MCC_mean,KNN_MCC_std,KNN_AUC-ROC_mean,KNN_AUC-ROC_std,KNN_F1_mean,KNN_F1_std,Random_Forest_MCC_mean,Random_Forest_MCC_std,Random_Forest_AUC-ROC_mean,Random_Forest_AUC-ROC_std,Random_Forest_F1_mean,Random_Forest_F1_std,XGBoost_MCC_mean,XGBoost_MCC_std,XGBoost_AUC-ROC_mean,XGBoost_AUC-ROC_std,XGBoost_F1_mean,XGBoost_F1_std
ace_inhibitory_activity,0.5121404207460974,0.0229820257709427,0.7559607959607959,0.0115009375860143,0.7567663117024355,0.0096424212115736,0.603403899832766,0.0185214920569713,0.801003861003861,0.0091258112707818,0.7942805693553305,0.0090338352660749,0.3543286998611791,0.0654534531345164,0.6643421443421443,0.0307082934650312,0.7168426222161822,0.0258550282174798,0.656142844575478,0.0338169074196835,0.827955152955153,0.0169280275504324,0.827733038328381,0.0181992934460209,0.5815892641990082,0.0232481217856727,0.7905969705969705,0.0116876377487696,0.7879845058239254,0.0115700794047009
ace_vaxinpad,0.8121299752959557,0.0396260791592881,0.9063359591228444,0.018752708163092,0.8954320677884591,0.0206548382500825,0.8600003238414482,0.014984169153793,0.9250713221205024,0.00899391481982,0.9174012993503248,0.0096858433285452,0.6636002577253624,0.1050702843550644,0.833739621034703,0.0533537575694515,0.8198733439630811,0.0530701978946905,0.8366236917416747,0.0179117769562018,0.9187694272940174,0.0080699363137249,0.9088933782314992,0.0094233602053523,0.7870951969581924,0.0342063868173281,0.8939117166986019,0.0168005699379702,0.8816380577559484,0.0179163751704468
acp_anticp,0.6630256341074208,0.0574443304243921,0.8284343434343434,0.0294265499967244,0.8284850992810201,0.0400150107131124,0.6617912424061123,0.0445491423791057,0.8237373737373737,0.0279526178014672,0.8072453547797149,0.044331511860882,0.4252377321071903,0.0756377752047514,0.698939393939394,0.0474608834258883,0.6291375105064734,0.1058117663700637,0.6133839421830067,0.0786939426751257,0.8037878787878789,0.0408267034215874,0.7981828270367886,0.0523981167125862,0.5326828721841356,0.1478763639673244,0.7637373737373737,0.0726025867198154,0.7619355450254867,0.0788359526753042
acp_iacp,0.7278163360400564,0.0324007778672236,0.8534036649890308,0.0201515884517029,0.8253617810760667,0.0247606598406824,0.7358486610551512,0.0606657586926009,0.8338043618531424,0.0421998559556321,0.7973964798190429,0.060828735901852,0.314747032807194,0.0792029639722124,0.6426732481610531,0.0465854270552397,0.638849716129797,0.0363019957349321,0.7597459588724039,0.0612065766071836,0.8654084397986838,0.0337245946956481,0.8412265617900019,0.0414249408849711,0.6245856421306369,0.0476488315328616,0.8114208284939991,0.0232797056851764,0.7738431938431939,0.0286637933199859
acp_mlacp,0.5372889102280712,0.0407939901561223,0.7606966976970309,0.0264212730080553,0.6746871439901939,0.0360285799714657,0.5712117695525716,0.0699244647209188,0.7448145605632283,0.0283115487077792,0.6557759427246471,0.0469233848573234,0.3295139348525062,0.1121014061854627,0.675856681131498,0.0606987841219154,0.5797488288045648,0.0581034715172986,0.5740030435868256,0.0565231653253485,0.7560912319714784,0.0257577631833658,0.672641677297194,0.0415807619367754,0.4938199405446122,0.063950897223583,0.738820448529809,0.0281906962423726,0.6446205876640659,0.0405136134823694
afp_amppred,0.6898894644245377,0.02954537470413,0.8446991044971007,0.0147541211183547,0.8412464217016199,0.0141185198578346,0.7639973512214138,0.029073232640265,0.8806204122918094,0.0142508285015747,0.8748693765565829,0.0143870906627717,0.4671418351447297,0.0320505448842651,0.7313455492769826,0.01732087336193,0.7413089892749201,0.0102202093393481,0.7758877274171606,0.0148450518842776,0.8859744400285445,0.0071589015008025,0.8795673333141506,0.0074316915249402,0.7323974555010977,0.0295200078805608,0.8652954764919363,0.0145255011662016,0.8597631520172108,0.0142158967277966
afp_antifp,0.6243285630410762,0.0165036676046487,0.8117238619780632,0.0078124258577301,0.8158312474299414,0.0098143806467741,0.7233232162221939,0.015157841994966,0.861463776302782,0.0076851273697101,0.8598959185902366,0.0093662773271987,0.2674939978396894,0.0407029593818675,0.6240632208256838,0.0221881016727974,0.6796717937048838,0.0151804404174455,0.7224978066901399,0.0220582260927362,0.8611048345337288,0.0109533989682248,0.8619235191330139,0.0117577484363455,0.6910632886007182,0.0337518790266903,0.8453337570023066,0.0167718259373547,0.844794896114837,0.0180602996686831
aip_aippred,0.1958639439021377,0.0383646452911954,0.596584126984127,0.0184073210538617,0.507997095264962,0.0258440373153979,0.248230052498959,0.0583477890616222,0.6026888888888889,0.0239566640747481,0.4355836678748931,0.0390625938587138,0.0310492176866064,0.0536847539983827,0.5139555555555555,0.0254499472210661,0.3633843578648961,0.0466808566250823,0.2350517438220237,0.0350471392055997,0.6046349206349207,0.0180796089563661,0.4636805818414171,0.0382867309764337,0.2087111424676784,0.062243888558115,0.5986,0.0292717821206881,0.4834041415308261,0.0428062668058807
aip_antiinflam,0.2728983427518164,0.0328138019788114,0.6344490856603869,0.0163434332541751,0.5560651410170452,0.0217318800390062,0.2822538405939113,0.033407550526623,0.6296007070358753,0.0173460197434034,0.5149583332879999,0.0324447530135622,0.1157469904548024,0.029610801802155,0.5581716921991736,0.014640442103227,0.5301268831501675,0.0213422349265814,0.2698479833558731,0.0096999435902911,0.6189331179116214,0.0057825534807083,0.4842076406241117,0.0161656920962627,0.2370569752458883,0.0265431045343101,0.6132241486249739,0.0133891287592022,0.5109631519568698,0.0210769996993678
amp_antibp,0.8333465643197812,0.0387293537635982,0.9163726276396684,0.0193017349474547,0.9153123552245956,0.0196424959995632,0.859038432766716,0.0390245635299644,0.9269179363806468,0.0201739612539772,0.9225350019382188,0.0219104359086653,0.6634783809557021,0.0319536310856073,0.8151296444800856,0.0149108269744113,0.8401452050339359,0.0132676085737336,0.796498481363273,0.0605272972050503,0.8978080727078321,0.0299470920344918,0.8965311250141342,0.0296315053739411,0.8137466977629902,0.0787012433896496,0.9058941459502808,0.0396623680005896,0.9044036854645888,0.0417251520798846
