Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.6860710742399687,0.03251928949735613,0.8418297118174494,0.019207335725774734,0.8058796829049995,0.022207698828420663
SVM,0.7458401217804006,0.022027688412989875,0.8648734856429522,0.014242792777134361,0.8372266478897211,0.016963679680001488
KNN,0.6995370402516594,0.024234844115480474,0.8393432387454458,0.013431533512779013,0.8049803680445817,0.017046223948192715
Random Forest,0.7217054135760557,0.018406092186631754,0.8472328683242234,0.01223126802701124,0.8158532609799373,0.015492721142827556
XGBoost,0.7278288152595276,0.019351258703821476,0.8567786736548232,0.013368727718129386,0.8265631832737634,0.015681814593985252
