Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.1360054409829685,0.05872928190326958,0.5679619047619047,0.029181512213674682,0.48128846801655956,0.036719080666971035
SVM,0.19253643386021618,0.04864823613753197,0.5713650793650794,0.01747340058177449,0.3488003682577981,0.028444658282602446
KNN,0.1327077384385975,0.050504698659023586,0.5675460317460317,0.02570775264843873,0.5103556752552885,0.03557711982480022
Random Forest,0.12559343459006517,0.0458448193797096,0.5428,0.01756061983845126,0.2667562793776386,0.04990043079623427
XGBoost,0.14046275280367543,0.02486474363372921,0.5636793650793651,0.01051827717351644,0.4157606477471161,0.012883133290966063
