Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.872622502316378,0.031140522049880416,0.9309265711704736,0.016347557452072604,0.920999740999741,0.019873138311108745
SVM,0.8745948821871684,0.06680283568271025,0.9270002580978189,0.04011411663414161,0.9172484775881002,0.047928951974874026
KNN,0.8394501350892145,0.06514051794649839,0.9065718157181571,0.03549785830078036,0.8937911135357945,0.043398434656875616
Random Forest,0.8650753767255164,0.07019486783563553,0.9171376951864756,0.0450431851043099,0.9063923484227011,0.05383923219990592
XGBoost,0.8433290769759434,0.06168401022721283,0.9124080526519551,0.03763464950281916,0.8984867724867724,0.044184292782333955
