Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.8054178461868634,0.013096671390708076,0.9026884095808063,0.006530280082696297,0.9026547007641893,0.006297330064344264
SVM,0.8632941463276971,0.005617127632550114,0.931414092728709,0.0028421387112717374,0.9303808249191603,0.0030739569063145396
KNN,0.8405910664764882,0.018326278548553267,0.9200291869167637,0.00905927685481886,0.921308491077314,0.009362520624872315
Random Forest,0.8088332018260163,0.016324268240552445,0.9034622645298629,0.00806805657712537,0.9001349225339181,0.008344438592632559
XGBoost,0.8304398482844201,0.008667407242240754,0.9151129319462854,0.0042965225906211185,0.9142323269561595,0.00417952235380315
