Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.8119057308810984,0.017786067676417622,0.9056936402579673,0.008886562929444163,0.9068412968625417,0.008387538519992152
SVM,0.8585133653653569,0.01446559897867982,0.9290177940968789,0.0071931652447874625,0.9280092401149146,0.007179517135500788
KNN,0.8431392148961117,0.014020884073313243,0.9214517723485383,0.0070263182800994065,0.922178121767033,0.007016217110246906
Random Forest,0.8385459974105622,0.018335723251765027,0.9184001788824554,0.008902275517136715,0.9159362075790798,0.008649150610132812
XGBoost,0.8461501048260821,0.01592978677399094,0.9228498799604576,0.007852355482148665,0.9217741318690473,0.007527464374217157
