Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.8972326980175964,0.0003945361802421279,0.9485632673337591,0.001890136840870104,0.9423175986368891,0.001133474661727348
SVM,0.9211599318886202,0.007563291262233341,0.9575356610602512,0.003295735419384004,0.9543217284014677,0.003988694401775172
KNN,0.8412739713040418,0.039947425115927436,0.9214033780427222,0.02083917944295409,0.911151699129714,0.022677416291791163
Random Forest,0.8601949971465453,0.03526211631576221,0.924566744730679,0.019969171870135166,0.9167247542775266,0.022965781851906415
XGBoost,0.8648020961244548,0.028107777168293435,0.9304211908310268,0.01290017347566426,0.9230406349678122,0.014892615927139138
