Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.8174608779202865,0.05315161020094239,0.9083030303030302,0.025626831735288545,0.9271123173961282,0.021717051640390207
SVM,0.8156190810234438,0.04965043218578437,0.9118212375859436,0.022544019620739108,0.9222760129834215,0.0224690708249534
KNN,0.7676454916513886,0.06786510469644567,0.8861212121212121,0.03224111292770325,0.9046944707582473,0.02825370011450642
Random Forest,0.7795200799989248,0.049513429322493266,0.8941074611662847,0.02309341352338743,0.9075815510381707,0.022362208220003944
XGBoost,0.7883708402131986,0.05663633644544607,0.8980035650623887,0.02791615937485088,0.912125101526535,0.023278302775205383
