Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.6858751694900098,0.02618390583511434,0.8425213521352136,0.012825481308287335,0.8426733289549801,0.015258766617693695
SVM,0.7172627455806162,0.041673498890756194,0.8583627362736272,0.020839221730423033,0.8607970619474937,0.020385294335399803
KNN,0.693021418769604,0.04373711924424271,0.8454916491649165,0.02151099216376463,0.8431296393522457,0.021665426002560585
Random Forest,0.6917579435808465,0.03663455292837048,0.8453918391839185,0.01840261565446672,0.8473103187206696,0.017110867284914837
XGBoost,0.6794849155313825,0.029879188396761618,0.8394817481748174,0.015061032435768128,0.8394724380256411,0.018212847495994566
