Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.7094482562939072,0.05783379286767446,0.8335547016645026,0.0403305222883008,0.7233299500672097,0.05679039607275525
SVM,0.7141887202255686,0.050171748357722604,0.7676155969634231,0.032680801779023286,0.6922201870240047,0.05697415667595112
KNN,0.7353046225023484,0.0314482185832323,0.7854957441913963,0.02772753589925745,0.7194430120833978,0.03888119250429796
Random Forest,0.7229673065812223,0.0715846851371924,0.7779560616517139,0.040621109772380454,0.7060066590769817,0.07499128963507579
XGBoost,0.7587628124588814,0.046433247559831116,0.8033528870485392,0.03405280998402964,0.747088632554471,0.05228952904594894
