Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.5938150046801547,0.022184367066531388,0.7967020084774148,0.01106375359854199,0.7993627458791115,0.011269471449706832
SVM,0.7208478629863554,0.01581207727571129,0.8585244794012683,0.00747410167508627,0.8509944524176138,0.007050723959470039
KNN,0.6459676831857013,0.01960320451197739,0.8228595682755276,0.00981930535070652,0.821259288654441,0.010627450129378314
Random Forest,0.662211875111807,0.01659420287055652,0.8282927941974751,0.00853532677436072,0.8163641001660267,0.009963951455799706
XGBoost,0.6902445536318134,0.02227684507929267,0.844089775129067,0.010805096129794146,0.8380719665361003,0.010688866569411221
