name,complexities.c1,complexities.c2,complexities.n1,complexities.n2,complexities.n3,complexities.n4,complexities.lsc,complexities.l1,complexities.l2,complexities.l3,complexities.density,complexities.clsCoef,complexities.hubs
hiv_apv,0.029,0.077,0.135,0.438,0.256,0.125,0.982,0.001,0.019,0.007,0.778,0.199,0.593
hiv_bevirimat,0.148,0.331,0.106,0.391,0.187,0.09,0.88,0.001,0.013,0.006,0.903,0.509,0.586
hiv_idv,0.0,0.001,0.093,0.436,0.181,0.09,0.986,0.001,0.013,0.003,0.783,0.186,0.635
hiv_lpv,0.007,0.018,0.108,0.443,0.192,0.07,0.984,0.0,0.0,0.0,0.811,0.208,0.685
hiv_nfv,0.041,0.106,0.114,0.442,0.221,0.13,0.991,0.001,0.017,0.003,0.797,0.199,0.679
hiv_protease,0.372,0.639,0.077,0.463,0.144,0.062,0.994,0.001,0.032,0.017,1.0,0.994,0.994
hiv_rtv,0.001,0.003,0.092,0.433,0.168,0.114,0.983,0.0,0.002,0.0,0.798,0.192,0.655
hiv_sqv,0.031,0.082,0.094,0.431,0.163,0.083,0.985,0.0,0.009,0.008,0.772,0.189,0.589
hiv_v3,0.395,0.663,0.031,0.352,0.049,0.036,0.976,0.001,0.012,0.004,0.898,0.36,0.764
isp_il10pred,0.099,0.236,0.221,0.466,0.385,0.227,0.998,0.003,0.087,0.043,1.0,0.964,0.996
nep_neuropipred,0.0,0.0,0.165,0.454,0.297,0.146,0.994,0.0,0.008,0.006,0.886,0.349,0.769
neuropeptide,0.0,0.0,0.146,0.447,0.256,0.186,0.999,0.003,0.108,0.069,0.767,0.22,0.646
pip_pipel,0.176,0.379,0.229,0.486,0.416,0.155,0.999,0.007,0.154,0.143,1.0,0.999,0.999
quorum_sensing,0.0,0.0,0.168,0.417,0.278,0.37,0.955,0.0,0.0,0.0,0.873,0.467,0.656
tce_zhao,0.326,0.588,0.113,0.427,0.192,0.064,0.853,0.0,0.0,0.0,0.999,0.938,0.981
toxic,0.0,0.0,0.078,0.43,0.127,0.055,0.997,0.0,0.016,0.004,1.0,0.841,0.996
toxic_PLPTP,0.138,0.313,0.067,0.431,0.1,0.081,0.997,0.002,0.059,0.03,1.0,0.847,0.997
tumor_t_cell_antigens,0.03,0.078,0.222,0.476,0.424,0.182,0.998,0.007,0.173,0.122,0.982,0.781,0.936
umami,0.099,0.237,0.102,0.417,0.192,0.113,0.989,0.002,0.041,0.027,0.675,0.137,0.521
