model,params,n_clusters,separation_ratio,cv,min_cluster_size,min_cluster_ratio,silhouette,davies_bouldin,calinski_harabasz
Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 15}",3,1.0496448212571867,0.694879228674498,6,0.08571428571428572,0.3105811570795244,1.3847605608305973,22.885942238014483
Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 50}",3,1.0496448212571867,0.694879228674498,6,0.08571428571428572,0.3105811570795244,1.3847605608305973,22.885942238014483
Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 25}",3,1.0496448212571867,0.694879228674498,6,0.08571428571428572,0.3105811570795244,1.3847605608305973,22.885942238014483
Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 100}",3,1.0496448212571867,0.694879228674498,6,0.08571428571428572,0.3105811570795244,1.3847605608305973,22.885942238014483
KMeans,"{'n_clusters': 3, 'init': 'random'}",3,1.0481108172268048,0.5436085023510377,6,0.08571428571428572,0.26856779051593543,1.2305925953574912,25.63317134423534
KMeans,"{'n_clusters': 3, 'init': 'k-means++'}",3,1.0481108172268048,0.5436085023510377,6,0.08571428571428572,0.26856779051593543,1.2305925953574912,25.63317134423534
KMeans,"{'n_clusters': 4, 'init': 'k-means++'}",4,0.6885831846782812,0.48906407882406877,6,0.08571428571428572,0.2766790344644899,1.227970403874658,24.795299022742256
KMeans,"{'n_clusters': 4, 'init': 'random'}",4,0.6885831846782811,0.48906407882406877,6,0.08571428571428572,0.2766790344644899,1.227970403874658,24.795299022742263
GaussianMixture,"{'n_components': 4, 'covariance_type': 'full', 'reg_covar': 0.0001}",4,0.5725970974579647,0.681534882003498,6,0.08571428571428572,0.277077317109615,1.240256642993107,23.417607196646127
GaussianMixture,"{'n_components': 4, 'covariance_type': 'full', 'reg_covar': 1e-06}",4,0.5725970974579647,0.681534882003498,6,0.08571428571428572,0.277077317109615,1.240256642993107,23.417607196646127
