model,targets,spearman_mean,spearman_std,r2_mean,r2_std
ridge,mcc_mean,0.7758241758241758,0.1063336588252031,0.16761231687792302,0.7892389689740572
linear,mcc_mean,0.7415384615384617,0.10193254006600963,0.2008757273190449,0.18082863951120964
lasso,mcc_mean,0.6782417582417584,0.13114527149861285,0.40208640488374237,0.18406530379152802
