name,mcc_mean,auc_roc_mean,f1_mean
DPPIV_inhibitory_activity,0.6881119270911588,0.8436386420596949,0.8440959657472495
HemoPI1,0.9419230941084222,0.9706666666666667,0.9702193783061469
HemoPI2,0.5390176548715966,0.7686554085642445,0.7908250165417889
HemoPI3,0.5370550425708929,0.7671366239828711,0.7932826986851943
Hemo_HAPPENN,0.6124048413900555,0.80480850879075,0.7706094147298822
ace_inhibitory_activity,0.6089489153339723,0.8038562518562518,0.8055324523329436
ace_vaxinpad,0.8790221248339233,0.9380120644382938,0.9311565238052388
acp_anticp,0.829964838613793,0.9126363636363637,0.9100116956528994
acp_iacp,0.863070636548675,0.9191347270615564,0.9083244028549586
acp_mlacp,0.6077893187829007,0.7890952653186164,0.7187979071926408
afp_amppred,0.8112649932193227,0.9036812049714825,0.8991272102055449
afp_antifp,0.8526440580190109,0.9260610554064869,0.9256806961945699
aip_aippred,0.18890861475776566,0.5835676190476191,0.43904956926574695
aip_antiinflam,0.30453971641136013,0.6424960778305373,0.5439391425111684
amp_antibp,0.9390383654642832,0.9691446137396419,0.9684944929126716
amp_antibp2,0.8909968579664509,0.9445888279782754,0.9429018312205584
amp_csamp,0.9216008884282108,0.9557179487179488,0.9707925612619445
amp_fernandes,0.6183442846842002,0.8063768115942029,0.8048636048948948
amp_gonzales,0.7253331419305498,0.8304285714285715,0.7494403374403374
amp_iamp2l,0.805160410748303,0.8920623363123363,0.8539335914355941
amp_modlamp,0.885170943880539,0.9425025646174829,0.93962746133511
anitinflamatory,0.18200140024975459,0.5787378857890546,0.4119791709273592
anti_MRSA,0.864069090176874,0.9014857792127255,0.8756326390064002
antibacterial,0.8810197342684865,0.939913393756294,0.9384863051306735
anticancer_alternative,0.8501031003349165,0.9239175257731957,0.9214284664515491
anticancer_main,0.4541291584460735,0.7267455303132141,0.7252303630605034
antidiabetic,0.40167035836241044,0.6994237588652482,0.7060312319435887
antifungal,0.9112665270275903,0.9550779148266587,0.9540668752934076
antimalarial_alternative,0.8829567714912698,0.9186923436041085,0.8973636940445306
antimalarial_main,0.7281343436123856,0.7935949983039151,0.7176176881612131
antimicrobial,0.685500656385143,0.839889972507766,0.8303253072452138
antimicrobial_UniDL4BioPep,0.9136439025473198,0.9567732358027332,0.9630068212596384
antioxidant,0.8409424571320898,0.920188679245283,0.9194001224964998
antioxidant_UniDL4BioPep,0.4860151324784644,0.7424237369175485,0.7353645628325912
antiparasitic,0.5465862914249943,0.7476456443909193,0.6323626840373481
antiviral,0.6626173959191662,0.8300937250961506,0.8252105107306587
atb_antitbp,0.6720929853574822,0.8320979591836736,0.8205072628989136
atb_iantitb,0.5238148123381463,0.760195918367347,0.7498871814544806
avp_amppred,0.7116150220259349,0.8554403261459912,0.8523244755459858
avp_avppred,0.6277619718040135,0.8117524785194978,0.8434358800352901
bce_ibce,0.1421713668428301,0.5671477860839563,0.47408446130826
bitter,0.6622734272004255,0.8306250000000001,0.8300034464872157
blood_brain_barrier,0.3900664163154146,0.6894202898550725,0.7024641486731595
cpp_cellppd,0.816186837638698,0.9074503488996241,0.905408039683649
cpp_cellppdmod,0.8103023347822932,0.904937098126922,0.9058505564036936
cpp_cppredfl,0.8142232630846824,0.905212716222534,0.9086184325720141
cpp_kelmcpp,0.6934804385904918,0.8462498649864987,0.8466765574002061
cpp_mlcpp,0.7316954799638631,0.8585280761185116,0.8288457510400937
cpp_mlcppue,0.36515163467190165,0.6817780938833572,0.6823702106682477
cpp_sanders,0.13082693933509368,0.5448428383210991,0.8533355774378822
hem_hemopi,0.8775204755452972,0.9388672055913435,0.9356338278862533
hiv_apv,0.676090634390716,0.838406297172489,0.8638142451845523
hiv_bevirimat,0.4872047728032218,0.7270234958278435,0.6013875051676909
hiv_idv,0.80003674514872,0.899088335499626,0.8998633620990845
hiv_lpv,0.7972321414267894,0.8954186818397345,0.8841482593208477
hiv_nfv,0.8465239890230741,0.919028760393046,0.9027108355244018
hiv_protease,0.44786383534018964,0.6680320700498807,0.4686576248902517
hiv_rtv,0.9111668490623703,0.9553560064197117,0.953584420038964
hiv_sqv,0.7937232741614484,0.8996713012477718,0.9147578907405005
hiv_v3,0.8369050717556125,0.9036581968755881,0.8578709085410287
isp_il10pred,0.3732581518587729,0.6567476652259286,0.49796405276067446
nep_neuropipred,0.7389909296638857,0.8675428571428571,0.8667160684850513
neuropeptide,0.742156612387195,0.8701855670103094,0.8721052924789896
pip_pipel,0.22547336222919095,0.5757336116307767,0.29331278966251356
quorum_sensing,0.8236056158384459,0.9098127453941407,0.914326893675978
tce_zhao,0.23323052572975972,0.596666030048383,0.2834693084693085
toxic,0.8379939490933674,0.9185746609363912,0.9180479457370371
toxic_PLPTP,0.8101377885461722,0.8960768407438156,0.8610741336789818
tumor_t_cell_antigens,0.3930054095552875,0.6795487520838052,0.7781680704769488
umami,0.6604387866256631,0.8185128805620607,0.7571411620561467
