name,masked_length_awarded_M.dtw_C.0.3,masked_length_awarded_M.dtw_C.0.5
DPPIV_inhibitory_activity,0.048081366139280386,0.03826003068704708
HemoPI1,0.09489092878778618,0.0726873409181073
HemoPI2,0.06337303161082032,0.048152518204111205
HemoPI3,0.06916977760284138,0.052269528695464126
Hemo_HAPPENN,0.10652536302129699,0.08174105052876522
ace_inhibitory_activity,0.06409973818839315,0.05557296232646773
ace_vaxinpad,0.11205314299376237,0.09811475664375655
acp_anticp,0.1924092829188572,0.179737066291888
acp_iacp,0.22604378785561138,0.19199356349472488
acp_mlacp,0.17002146237370586,0.132869155286663
afp_amppred,0.10474756779926364,0.08432090037866856
afp_antifp,0.18022142676437458,0.1376009747093463
aip_aippred,0.2641556139373848,0.19407996235711975
aip_antiinflam,0.18920635835255403,0.14052498479426198
amp_antibp,0.3784060273271144,0.27747955156987764
amp_antibp2,0.09499531185713295,0.076592285213729
amp_csamp,0.27734488360518295,0.22298507772463885
amp_fernandes,0.16374555932641888,0.13284783568657235
amp_gonzales,0.301069132575464,0.2296696977762357
amp_iamp2l,0.1530585805114419,0.1511195442657045
amp_modlamp,0.29552483986266487,0.23029816541953296
anitinflamatory,0.215257176257791,0.15795682318084062
anti_MRSA,0.20260602170654932,0.16373343409137184
antibacterial,0.0813978602909815,0.07673662390773205
anticancer_alternative,0.14772067297695352,0.12578571803473543
anticancer_main,0.11106264057096563,0.08840077653446027
antidiabetic,0.21202321802528742,0.15724836969300962
antifungal,0.1888914096952409,0.15048893168631705
antimalarial_alternative,0.1538784646203079,0.1488935970120895
antimalarial_main,0.06943940075771055,0.05842686896929671
antimicrobial,0.17179408412961336,0.1348373212405403
antimicrobial_UniDL4BioPep,0.17151007767773108,0.16975039502237532
antioxidant,0.06864981865279147,0.05883052858127
antioxidant_UniDL4BioPep,0.05063822088493754,0.04118240187647799
antiparasitic,0.12519130723287894,0.11869067983368056
antiviral,0.058784764783784534,0.048541432789159344
atb_antitbp,0.099400033922678,0.0843551006700224
atb_iantitb,0.08710870470483478,0.07147776688962477
avp_amppred,0.18590270980416992,0.1441900028241936
avp_avppred,0.13615231272995681,0.10367804023695004
bce_ibce,0.23223143297228274,0.1860977359110271
bitter,0.06483063807524908,0.05450545436305898
blood_brain_barrier,0.140210651607842,0.12168662733070515
cpp_cellppd,0.13209429788245353,0.11060260556248822
cpp_cellppdmod,0.14838758444646277,0.11517105591278794
cpp_cppredfl,0.15352814999718678,0.12143435410856335
cpp_kelmcpp,0.21449339650144839,0.16139157569566973
cpp_mlcpp,0.16330452679078727,0.13139647313099542
cpp_mlcppue,0.10920268841875193,0.08629726688233343
cpp_sanders,0.18106414438193943,0.14213085313098284
hem_hemopi,0.0917931046780932,0.07038181546534127
hiv_apv,0.055662870435139886,0.04306546411234812
hiv_bevirimat,0.24521669433838367,0.1876676454896812
hiv_idv,0.05588688577188129,0.04420509366329
hiv_lpv,0.056780969133841445,0.04361928155393165
hiv_nfv,0.05772723230681744,0.045239378952412056
hiv_protease,0.2839070670632068,0.2092902253012846
hiv_rtv,0.05265759260836449,0.0400879434054638
hiv_sqv,0.05796406457097368,0.04484049069070745
hiv_v3,0.24567258737131736,0.19484519293545338
isp_il10pred,0.22648030928712626,0.16789587634415964
nep_neuropipred,0.09413063656198686,0.08724553808139132
neuropeptide,0.05739763454656095,0.05239058806457381
pip_pipel,0.2361174742878895,0.1728667150201969
quorum_sensing,0.12979419206483997,0.12229397531236981
tce_zhao,0.35870990750286547,0.2675638907368731
toxic,0.2388204573550193,0.17970850032065785
toxic_PLPTP,0.20614890996166313,0.157189029702032
tumor_t_cell_antigens,0.17364810341245815,0.13937087597043185
umami,0.11143847094137915,0.10177415584230252
