name,ot_M.ot_C.0.5.100,ot_M.masked_length_awarded_C.0.5.100,ot_M.dtw_C.0.5.100,masked_length_awarded_M.ot_C.0.5.100,masked_length_awarded_M.masked_length_awarded_C.0.5.100,masked_length_awarded_M.dtw_C.0.5.100,dtw_M.ot_C.0.5.100,dtw_M.masked_length_awarded_C.0.5.100,dtw_M.dtw_C.0.5.100
DPPIV_inhibitory_activity,0.08836994272972801,0.06776261146953463,0.07293395715634353,0.0996581917004642,0.07850211160243893,0.08384414328399045,0.07328057003804837,0.052875769490564925,0.05796553478824113
HemoPI1,0.11340545857676555,0.10638787986003981,0.1149217689419251,0.10768486058140939,0.10037929982509111,0.1094241044588335,0.10831622240417035,0.10151676474041639,0.1096096984668286
HemoPI2,0.11342259780256128,0.1062826649993646,0.10733588868216537,0.10142917526549274,0.09401775175764474,0.09510863795970226,0.0714324829307211,0.06439927294777618,0.06540296366475158
HemoPI3,0.12155265329423562,0.11759076663331196,0.11394967869809798,0.10880779359245826,0.10452421068915921,0.10081536469265613,0.0789203846529785,0.075060815202317,0.07146518789110232
Hemo_HAPPENN,0.15933891671016345,0.16612104265003208,0.15394237343037998,0.1712754121130704,0.1784721506055306,0.1661996555470849,0.18240338813423498,0.18898613211713913,0.1769302379614883
ace_inhibitory_activity,0.08490514272159888,0.08129486361685663,0.10138610884317686,0.0918120003581374,0.08777771736212606,0.10816693860387748,0.07480439382098165,0.07138549939764459,0.0913063995403287
ace_vaxinpad,0.17987022518918153,0.18085770103121288,0.19262479182893755,0.16233377055985462,0.16287602346164287,0.17640940347550957,0.2001588996227339,0.20118408571967036,0.2121571683643935
acp_anticp,0.2214957014280921,0.22906723050045516,0.2881845480584436,0.23121776413450265,0.23917981904103158,0.2989262326052763,0.20835956018874002,0.2157043199178024,0.2746601406847448
acp_iacp,0.212478908918471,0.2478207331968264,0.2567809123090271,0.24698188518922018,0.28255887387992906,0.29190875655443743,0.19756122429580544,0.2328464304140402,0.24163831249986076
acp_mlacp,0.18659596386388105,0.18878257134372686,0.19686100526648412,0.20114899406459194,0.20395386551809686,0.21267448818662626,0.22935254776028302,0.23120327487106812,0.23901335804589627
afp_amppred,0.14972303051533897,0.14372461945420104,0.15844863023638903,0.1251950718646952,0.11849133707387068,0.13422588466849558,0.12662165472702058,0.12097644627002715,0.13511147934835083
afp_antifp,0.20886108687470634,0.2439340630333941,0.20939481788579759,0.19938073380397695,0.24082445830272992,0.19917023754314425,0.20815240934976179,0.23933221009643868,0.20924876891423064
aip_aippred,0.22081712582525662,0.22377585409336645,0.22583144674198719,0.2754907576595937,0.278512919002413,0.2807545467462909,0.26302251840862784,0.26599156562187587,0.26800644379557076
aip_antiinflam,0.1996534058922629,0.20496117341719708,0.20561778206769457,0.21383660367942045,0.2194445711451897,0.2200824113525314,0.23414002852047006,0.23932930590758916,0.24001015547196936
amp_antibp,0.25467477388418347,0.26226765101822136,0.269480363486479,0.3412494078680388,0.3488416278755358,0.3560616746994546,0.3299541117782637,0.33754462173508226,0.3447646481521734
amp_antibp2,0.12141577753183765,0.1114556045984412,0.12350103427970505,0.11775095485013133,0.10740267393346056,0.11994728695907636,0.14378227182682374,0.1340795255310098,0.14575469203861896
amp_csamp,0.3180828393518437,0.3461941835720546,0.367308409806888,0.25314422438874534,0.2819168751749569,0.3029281273043659,0.3553878012764565,0.38283779231184323,0.40426473315640915
amp_fernandes,0.25637198013774043,0.24494340080972918,0.25323723987757707,0.2206380485587367,0.20955327828371628,0.21938345474830576,0.2545921182410277,0.2420042327692846,0.25141088073265494
amp_gonzales,0.2851306321305581,0.3376176980920737,0.28723974159653787,0.30371539551751175,0.35670533362799833,0.3070654733423866,0.26137834208413896,0.31365593592554036,0.2632444234204037
amp_iamp2l,0.2157354261093394,0.26373852826118377,0.2846162520329697,0.1888114299633333,0.23775762363766612,0.2577195120836903,0.2796559760704374,0.32686359175782204,0.3484739919066287
amp_modlamp,0.18184349706194194,0.24749482428124275,0.2175532343069813,0.2799281769532885,0.34575636116855146,0.3159900145768874,0.21490411942967647,0.2805084903834986,0.250470897226871
anitinflamatory,0.20086906611192273,0.2014397881160752,0.2064822662298645,0.24520033074003886,0.2457953422345484,0.25099635783312746,0.2387455419238556,0.23934190477786935,0.24432941175517436
anti_MRSA,0.21917603237025055,0.2371002482186432,0.2452448982727535,0.21132929951339052,0.23059600041363443,0.23924846138382044,0.23063425072140992,0.24785080995980935,0.25585338443789923
