Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.8672448265201218,0.00955190274777289,0.933493010820597,0.004515019151220672,0.9300793008242267,0.0048297419511272215
SVM,0.8935721673282414,0.022485506571720607,0.9471773820049683,0.011228431376412731,0.9443365687015012,0.011503524024847403
KNN,0.8695879617320962,0.010311471169140784,0.9347621152793566,0.0047301040835817714,0.9313697954181681,0.004619911087334536
Random Forest,0.8820814438756839,0.036354716629231974,0.9411151109426973,0.018261456839487877,0.9379211713485912,0.019043477851078582
XGBoost,0.8751159782703418,0.023555510725628066,0.9377884089090986,0.011851860352310287,0.9344623031387792,0.012105650814945391
