Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.6834183377880368,0.017206715879610923,0.8412337662337663,0.008696588446210953,0.8377495677767766,0.009804773853437105
SVM,0.6987651534079949,0.03732970907624133,0.8487696514012303,0.018847257716482834,0.8522379362619448,0.017170015940466247
KNN,0.6800381219728038,0.022461590595528116,0.839701526543632,0.011277528052037118,0.8399457244801478,0.010808364938540467
Random Forest,0.6878312729111402,0.025639724260211053,0.843483709273183,0.012732717589855226,0.8442714056987622,0.009648865092068866
XGBoost,0.690506749375818,0.03587884033326768,0.8450045568466621,0.0178060678353655,0.8462751945186164,0.01590472279490079
