Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.7742829872160104,0.052161649725370046,0.8835809264642217,0.03131982876411542,0.8700876515613357,0.038732101520210324
SVM,0.8022654914173716,0.050052570702259123,0.8972981219205476,0.02660615571288704,0.8862258467875493,0.03135571376512656
KNN,0.7917420104141567,0.048351880654058474,0.8938173184626275,0.02452722562566362,0.8830168841610488,0.027874485909641256
Random Forest,0.8112755083770622,0.06954475209233671,0.9024190323046157,0.037071770341233996,0.8917192593663182,0.04374664166968773
XGBoost,0.8065947097093463,0.062440027143855666,0.89997801004666,0.031271815589878973,0.889691654727986,0.0363848918198601
