Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.17006999411929286,0.047738556679789074,0.5848808945756735,0.024215905269261952,0.48546879454319053,0.03358560639216464
SVM,0.21510465635654513,0.04496933374008693,0.5839726493397276,0.01803369017629661,0.38209487387030083,0.03590400878232817
KNN,0.18830770178020723,0.03739164595809856,0.5881422466111098,0.019086942347967255,0.4528330770342784,0.03641033445442629
Random Forest,0.17084328768654514,0.012339328448726504,0.563022941413859,0.005532247120310328,0.32838147629866266,0.017335942948025602
XGBoost,0.16568136130618275,0.04106139567973622,0.5736706970049033,0.018469404991334995,0.41111763289036396,0.03418112029339354
