Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.8216552379139287,0.012061542491486155,0.9107054397450831,0.005938558129974468,0.9112859970724063,0.006506325334754513
SVM,0.869430572790486,0.017529018914218947,0.9345202233200787,0.008723351277953059,0.9337310286118076,0.008674754569975206
KNN,0.8327457423371942,0.019142336729349934,0.91588343977186,0.009603322505184397,0.9177422049709797,0.009372204332464225
Random Forest,0.8196343769128734,0.006075734065867819,0.908894645941278,0.003381307148314695,0.9058457414953184,0.004215642145758556
XGBoost,0.846503815512355,0.013942900970689837,0.9228695559036565,0.007090731876863994,0.9216347565346735,0.007757595637004687
