Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.5373289009500122,0.020299810419499013,0.7679180279180279,0.01008771837918129,0.7750113684023018,0.010730018770879157
SVM,0.652280383682948,0.020239991060019107,0.826012771012771,0.010174752501543927,0.8243027400339645,0.011572982385039855
KNN,0.5644808158741587,0.029853621221194653,0.780996435996436,0.014875043209044819,0.7907419486120288,0.014038368249518311
Random Forest,0.6374279932096275,0.023164353537623805,0.8179373329373328,0.011742908187808354,0.8119528505553635,0.013753202274890679
XGBoost,0.6532264829531153,0.03022447390366164,0.8264166914166914,0.015192800029710317,0.8256533540610587,0.01806153407644193
