Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.6243285630410762,0.016503667604648792,0.8117238619780632,0.007812425857730192,0.8158312474299414,0.0098143806467741
SVM,0.7233232162221939,0.015157841994966012,0.861463776302782,0.007685127369710134,0.8598959185902366,0.009366277327198736
KNN,0.2674939978396894,0.04070295938186751,0.6240632208256838,0.02218810167279741,0.6796717937048838,0.01518044041744551
Random Forest,0.7224978066901399,0.022058226092736225,0.8611048345337288,0.010953398968224837,0.8619235191330139,0.011757748436345524
XGBoost,0.6910632886007182,0.03375187902669036,0.8453337570023066,0.01677182593735476,0.844794896114837,0.018060299668683163
