Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.6234927484560991,0.07732886636977654,0.8099609679937549,0.03803970618510033,0.7411173885750157,0.05264932591122022
SVM,0.62913217400893,0.087877088935354,0.7957767369242779,0.043408649717269716,0.7285107273678701,0.06396214700972858
KNN,0.6085365771831428,0.07717257091433814,0.7951990632318501,0.040735752896975945,0.7226885543834697,0.053056186175758545
Random Forest,0.6090409996110899,0.09762541210226228,0.7793208430913349,0.054601524063540643,0.7037583886973342,0.0773146265312162
XGBoost,0.6426654500952665,0.08755485674958598,0.8086065573770492,0.050323740262912385,0.7422021116138764,0.06879061041607434
