Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.8848196880081979,0.03325986620957199,0.9420816202223236,0.0165733757075786,0.9422863315010634,0.01664485403517492
SVM,0.8966277037259571,0.01811897666899653,0.947624486066697,0.009318546995134028,0.9461624583372394,0.009854899365055497
KNN,0.8757334347693189,0.022086640186231573,0.9375513933302878,0.011142824911848759,0.9364808979254912,0.011616662251298187
Random Forest,0.882887191526976,0.024364021933754518,0.9400766458555403,0.012954161372126509,0.9375536104237732,0.014270195825620627
XGBoost,0.8879875893534841,0.014389039217622026,0.9435916958530024,0.007499674705168649,0.9425991832196493,0.008322730465845413
