Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.4497948084671073,0.061514865794917675,0.7222074468085106,0.03117921791187351,0.7237818013803459,0.04670495858160803
SVM,0.47726537585474843,0.03849661047326301,0.7349290780141844,0.01840740229862246,0.7507777936384175,0.02204834089428801
KNN,0.40862757289007046,0.04461758410889415,0.6927304964539007,0.015971354262680912,0.7331349810919295,0.0225436415367403
Random Forest,0.4298424299977716,0.12155250012112447,0.7138741134751773,0.0601544818950991,0.7124006784277139,0.0604692168864807
XGBoost,0.4808365544127346,0.09903252757060159,0.7393617021276596,0.04903131489722951,0.7440085189296962,0.054647001586894936
