Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.6917087320621661,0.02823422687997572,0.8459659493074575,0.01429456111656082,0.8112899013044814,0.01756825122995071
SVM,0.7380995009674569,0.024814331600219994,0.86286894760224,0.012415197501190906,0.8343127351390919,0.015826744853804472
KNN,0.6710241828238985,0.02879673264273311,0.8229075576408501,0.017899661790505558,0.7832793478763833,0.02375438504204543
Random Forest,0.6929219985430799,0.036235610277369976,0.8335269753418129,0.0188419450422651,0.7976675844716822,0.024985094156031114
XGBoost,0.7207729173943098,0.029192202504405185,0.8555044161267336,0.016791812290351586,0.8242333327063476,0.02068346589436263
