Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.49906271637582905,0.030968144750675487,0.748898694577864,0.01422822622191926,0.7047494216758083,0.015464344805203867
SVM,0.5512004286281637,0.02684566159262773,0.7742653368408063,0.013974929992051337,0.7334818380160505,0.017420375966722912
KNN,0.5167946565211731,0.02782197303116359,0.7593380602265535,0.014012791988997339,0.7191348326461491,0.016795642045437757
Random Forest,0.5616949396811558,0.03305304630314925,0.7753935016778638,0.017307175388437502,0.7311848365395074,0.022391274503907023
XGBoost,0.577741003828357,0.015785302511859924,0.7859381580520755,0.009924414208234993,0.746095385978183,0.013729159139342452
