Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.5380820989757906,0.14751694477288013,0.7792874396135264,0.081544079249412,0.6687719298245615,0.10875155440174324
SVM,0.48465189540111353,0.14004453517801838,0.7140480895915678,0.07123043894727485,0.5852258852258851,0.1102163113963557
KNN,0.5906024407141572,0.13580071449799613,0.7635979358805446,0.06671639607840239,0.6713725490196077,0.10571510214793564
Random Forest,0.5181449548353111,0.12007119482876882,0.7308959156785244,0.06089347043374019,0.6166666666666666,0.09999999999999999
XGBoost,0.5212302810372602,0.07802010683650198,0.754594861660079,0.03809016179904734,0.6473529411764706,0.06438094287488683
