Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.8806530327874235,0.005864754455949003,0.9398994573039066,0.002719527934687178,0.9490336636570269,0.0026485164947357732
SVM,0.9031846677653833,0.009542217260482412,0.9515536500205009,0.004916778699557975,0.9585455211934912,0.004035122946766731
KNN,0.8426842024405088,0.018790194040232234,0.9236400322082166,0.009688513040689227,0.9304519220349651,0.007923273915844773
Random Forest,0.8475933318766163,0.012287106300831352,0.9212564746162025,0.006280520166337261,0.9358338577556881,0.005100956842599567
XGBoost,0.8768949869976828,0.011877900144670946,0.9379611657541973,0.006337914011627493,0.9474893925901092,0.00489659522854421
