Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.9025396424053558,0.028961121021233802,0.951089271089271,0.014397759531654647,0.9509342144711388,0.014705879962849111
SVM,0.9260904637416008,0.01740362042886618,0.9628337428337428,0.00875751260704642,0.9625899356404899,0.009048786152743475
KNN,0.875965467649921,0.04530598001659293,0.9375020475020476,0.022790313289655337,0.9387599727019887,0.02212044808851301
Random Forest,0.9068057800819249,0.030309472004733988,0.9528501228501227,0.015602784581289586,0.9521285672116646,0.016887918757159715
XGBoost,0.89710724977372,0.03261141980220139,0.9483456183456184,0.016337241445857638,0.9480574092556056,0.01657383884797649
