Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.49966710948345733,0.0502530350571693,0.7481966015486353,0.024966528282338658,0.7744616123059975,0.020696750384297073
SVM,0.518742679943965,0.07828189578460451,0.7579954753937924,0.039121990740924345,0.7837621601714763,0.03591190633611097
KNN,0.4122074437775337,0.06493869941078785,0.7041134459717909,0.030982533804489638,0.7394536146202807,0.03440987424150009
Random Forest,0.5340997648636284,0.07926889982057335,0.7652401349456049,0.03920148832365517,0.7926033392157338,0.03425599397934154
XGBoost,0.5306213795293181,0.0658885250496045,0.7647981272104694,0.033869850386238215,0.7879020700021417,0.024160923718407966
