Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.12675864911408175,0.05218507878998251,0.5632126984126984,0.02575388407059394,0.4765015423698058,0.026676978632968536
SVM,0.1817867821392703,0.04927696406189892,0.5665968253968254,0.020789939327075485,0.331177609693902,0.05482156153351802
KNN,0.10874271569214422,0.06184429253242573,0.5529777777777778,0.030425905274390604,0.4365468062732957,0.05583379995948017
Random Forest,0.16132543561136886,0.031234172010213796,0.5653746031746032,0.014214228904550853,0.36684315071916984,0.03501868273896585
XGBoost,0.10460546170472391,0.04457269351742535,0.5466603174603175,0.019748944816510666,0.3816449082906271,0.03251312239998558
