name,n_samples,n_features,score,n_classes,classes,complexities.f1,complexities.f1v,complexities.f2,complexities.f3,complexities.f4,complexities.l1,complexities.l2,complexities.l3,complexities.n1,complexities.n2,complexities.n3,complexities.n4,complexities.t1,complexities.lsc,complexities.density,complexities.clsCoef,complexities.hubs,complexities.t2,complexities.t3,complexities.t4,complexities.c1,complexities.c2,prior_probability.0,prior_probability.1
antimicrobial,8268,630,0.508,2,2,0.932,0.225,1.0,1.0,1.0,0.011,0.172,0.117,0.148,0.472,0.283,0.141,0.965,0.999,1.0,0.957,0.999,0.076,0.049,0.64,0.0,0.0,0.5,0.5
antimicrobial_UniDL4BioPep,10989,2100,0.4,2,2,0.184,0.041,0.0,0.996,0.963,0.0,0.0,0.0,0.215,0.442,0.431,0.428,0.771,0.825,0.974,0.671,0.856,0.191,0.121,0.636,0.015,0.04,0.4283374283374283,0.5716625716625716
antioxidant,2120,420,0.394,2,2,0.866,0.095,0.0,0.996,0.947,0.001,0.04,0.008,0.15,0.458,0.283,0.126,0.917,0.998,0.903,0.351,0.791,0.198,0.09,0.452,0.0,0.0,0.5,0.5
antioxidant_UniDL4BioPep,1404,630,0.404,2,2,0.905,0.204,0.0,0.995,0.879,0.008,0.159,0.115,0.197,0.47,0.374,0.193,0.952,0.998,0.752,0.174,0.66,0.449,0.124,0.276,0.0,0.001,0.5106837606837606,0.4893162393162393
antiparasitic,1206,2100,0.527,2,2,0.655,0.002,0.0,0.956,0.0,0.0,0.0,0.0,0.338,0.486,0.651,0.715,0.961,0.997,0.984,0.741,0.906,1.741,0.523,0.3,0.204,0.424,0.7595356550580431,0.24046434494195687
antiviral,5888,2100,0.407,2,2,0.926,0.219,0.0,0.998,0.927,0.005,0.169,0.118,0.179,0.459,0.339,0.188,0.846,0.999,0.827,0.293,0.727,0.357,0.101,0.282,0.0,0.0,0.5,0.5
anti_MRSA,995,1470,0.482,2,2,0.802,0.001,0.0,0.945,0.0,0.0,0.0,0.0,0.095,0.488,0.181,0.065,0.997,0.995,0.989,0.8,0.913,1.477,0.477,0.323,0.393,0.661,0.8512562814070351,0.1487437185929648
atb_antitbp,492,1281,0.461,2,2,0.898,0.006,0.0,0.949,0.0,0.0,0.0,0.0,0.152,0.458,0.266,0.165,0.9,0.993,0.907,0.418,0.788,2.604,0.453,0.174,0.0,0.0,0.5,0.5
atb_iantitb,492,1281,0.468,2,2,0.928,0.009,0.0,0.982,0.0,0.0,0.006,0.004,0.158,0.455,0.254,0.193,0.919,0.992,0.919,0.476,0.806,2.604,0.429,0.165,0.0,0.0,0.5,0.5
avp_amppred,1460,2058,0.446,2,2,0.946,0.058,0.0,0.996,0.461,0.0,0.018,0.007,0.198,0.447,0.355,0.182,0.844,0.997,0.971,0.526,0.89,1.41,0.299,0.212,0.0,0.0,0.5061643835616438,0.49383561643835616
avp_avppred,1046,2100,0.466,2,2,0.909,0.037,0.0,0.972,0.49,0.0,0.013,0.005,0.182,0.438,0.33,0.205,0.793,0.995,0.97,0.463,0.894,2.008,0.329,0.164,0.015,0.04,0.42829827915869984,0.5717017208413002
bce_ibce,2518,1029,0.496,2,2,0.981,0.306,0.0,0.996,0.925,0.009,0.22,0.177,0.245,0.493,0.483,0.213,1.0,0.999,1.0,0.994,0.993,0.409,0.124,0.302,0.01,0.028,0.5591739475774424,0.44082605242255757
bitter,640,819,0.385,2,2,0.87,0.112,0.0,0.953,0.42,0.004,0.095,0.052,0.176,0.436,0.322,0.2,0.817,0.995,0.687,0.127,0.608,1.28,0.183,0.143,0.0,0.0,0.5,0.5
blood_brain_barrier,238,1113,0.592,2,2,0.687,0.002,0.0,0.962,0.008,0.0,0.004,0.0,0.208,0.476,0.382,0.319,0.962,0.989,0.974,0.746,0.856,4.676,0.639,0.137,0.0,0.0,0.5,0.5
cpp_cellppd,1614,1281,0.418,2,2,0.845,0.06,0.0,0.986,0.559,0.0,0.015,0.006,0.168,0.45,0.323,0.218,0.801,0.996,0.979,0.541,0.914,0.794,0.243,0.306,0.0,0.0,0.5,0.5
cpp_cellppdmod,1462,861,0.361,2,2,0.808,0.042,0.0,0.987,0.514,0.0,0.014,0.003,0.087,0.347,0.121,0.077,0.525,0.991,0.987,0.423,0.927,0.589,0.183,0.311,0.0,0.0,0.4993160054719562,0.5006839945280438
cpp_cppredfl,924,1281,0.438,2,2,0.86,0.023,0.0,0.972,0.0,0.0,0.0,0.0,0.147,0.476,0.252,0.079,0.976,0.995,0.996,0.842,0.965,1.386,0.393,0.283,0.0,0.0,0.5,0.5
cpp_kelmcpp,1003,1029,0.445,2,2,0.824,0.038,0.0,0.984,0.525,0.0,0.006,0.001,0.144,0.455,0.267,0.106,0.912,0.995,0.999,0.862,0.987,1.026,0.337,0.328,0.0,0.0,0.49750747756729813,0.5024925224327019
cpp_mlcpp,1903,1008,0.461,2,2,0.83,0.085,0.0,0.988,0.779,0.001,0.035,0.014,0.221,0.464,0.431,0.338,0.873,0.997,0.998,0.822,0.972,0.53,0.221,0.418,0.037,0.096,0.6121912769311614,0.3878087230688387
cpp_mlcppue,374,1281,0.541,2,2,0.937,0.037,0.0,0.979,0.31,0.002,0.064,0.048,0.226,0.462,0.422,0.31,0.885,0.995,0.972,0.429,0.91,3.425,0.382,0.112,0.0,0.0,0.5,0.5
