,dataset,metric,mean,std,cv
0,ace_vaxinpad_subsampled,t1,0.84659,0.012072360995265187,0.0142599853474116
1,ace_vaxinpad_subsampled,density,0.9582599999999999,0.0020621348161553375,0.0021519575231725603
2,ace_vaxinpad_subsampled,clsCoef,0.57292,0.009524368745486478,0.0166242559964506
3,acp_anticp_subsampled,t1,0.8673000000000001,0.011997082978791146,0.013832679555852814
4,acp_anticp_subsampled,density,0.9444999999999998,0.0077711003081931546,0.008227739871035634
5,acp_anticp_subsampled,clsCoef,0.5153,0.0234377899982059,0.04548377643742655
6,acp_iacp_subsampled,t1,0.9254200000000001,0.00971203377259365,0.010494730795307697
7,acp_iacp_subsampled,density,0.9786300000000001,0.005447302084518542,0.005566252909187886
8,acp_iacp_subsampled,clsCoef,0.6680500000000003,0.03970702078977972,0.0594371989967513
9,acp_mlacp_subsampled,t1,0.8305599999999999,0.010585197211200175,0.012744650851473917
10,acp_mlacp_subsampled,density,0.9972000000000001,0.0004690415759823434,0.0004703585800063611
11,acp_mlacp_subsampled,clsCoef,0.78531,0.014432390654358005,0.018377953488887197
12,aip_aippred_subsampled,t1,0.9995499999999998,0.0004974937185533104,0.000497717691514492
13,aip_aippred_subsampled,density,0.9999899999999999,9.949874371066205e-05,9.949973870804913e-05
14,aip_aippred_subsampled,clsCoef,0.99875,0.0035899164335677814,0.0035944094453744992
15,aip_antiinflam_subsampled,t1,0.9544400000000002,0.0028855502074994323,0.0030232913619498676
16,aip_antiinflam_subsampled,density,1.0,0.0,0.0
17,aip_antiinflam_subsampled,clsCoef,0.9731399999999999,0.0031749645667314176,0.0032625979476040633
18,amp_antibp_subsampled,t1,0.8619,0.007830070242341388,0.009084662074882687
19,amp_antibp_subsampled,density,0.9990199999999999,0.00014000000000000015,0.0001401373345878963
20,amp_antibp_subsampled,clsCoef,0.90731,0.011117279343436513,0.01225301092618456
21,amp_csamp_subsampled,t1,0.7932000000000001,0.013732443336857428,0.017312712224984147
22,amp_csamp_subsampled,density,0.9937699999999998,0.0007328710664230108,0.000737465476340613
23,amp_csamp_subsampled,clsCoef,0.74225,0.026518059883784893,0.03572658792022215
24,amp_fernandes_subsampled,t1,0.99167,0.004140181155456852,0.0041749585602638495
25,amp_fernandes_subsampled,density,0.9942300000000001,0.0041130402380720795,0.0041369102099836855
26,amp_fernandes_subsampled,clsCoef,0.93271,0.03123469064998082,0.033488105252415884
27,amp_gonzales_subsampled,t1,0.87399,0.020201235110755004,0.02311380577667365
28,amp_gonzales_subsampled,density,0.9846300000000002,0.003061551894056349,0.003109342488098421
29,amp_gonzales_subsampled,clsCoef,0.76389,0.033907490322936024,0.04438792276759223
30,antidiabetic_subsampled,t1,0.9928500000000001,0.0032752862470324666,0.0032988731903434215
31,antidiabetic_subsampled,density,0.9999899999999999,9.949874371066208e-05,9.949973870804916e-05
32,antidiabetic_subsampled,clsCoef,0.9795699999999999,0.006332858754148877,0.006464937425757095
33,antimalarial_alternative_subsampled,t1,0.9386800000000001,0.006340157726744622,0.006754333454153302
34,antimalarial_alternative_subsampled,density,0.9867199999999998,0.0027643444069073617,0.0028015489773262547
35,antimalarial_alternative_subsampled,clsCoef,0.80057,0.039732167069013474,0.049629847569873306
36,anti_MRSA_subsampled,t1,0.9975999999999999,0.0012328828005937964,0.0012358488378045273
37,anti_MRSA_subsampled,density,0.99056,0.0022861321046693714,0.0023079188586954567
38,anti_MRSA_subsampled,clsCoef,0.81935,0.02681170453365468,0.032723139724970624
39,blood_brain_barrier_subsampled,t1,0.9651599999999999,0.008784896129152588,0.009102010163239867
40,blood_brain_barrier_subsampled,density,0.96846,0.008462174661397632,0.008737763729423654
41,blood_brain_barrier_subsampled,clsCoef,0.7380600000000002,0.033705435763389864,0.04566760935884597
42,cpp_mlcppue_subsampled,t1,0.9018200000000002,0.01625630954429696,0.01802611335332656
43,cpp_mlcppue_subsampled,density,0.9741699999999999,0.003926970842774367,0.00403109400081543
44,cpp_mlcppue_subsampled,clsCoef,0.4551700000000001,0.029300530711917152,0.06437271944969385
45,cpp_sanders_subsampled,t1,0.85312,0.023939624057198572,0.028061262257593974
46,cpp_sanders_subsampled,density,0.9893100000000001,0.0022436354427580276,0.002267879070016504
47,cpp_sanders_subsampled,clsCoef,0.78215,0.031071007386307897,0.03972512610919631
48,hiv_bevirimat_subsampled,t1,0.6194799999999998,0.044918254641069945,0.07250961232173753
49,hiv_bevirimat_subsampled,density,0.9031600000000002,0.007063596817486123,0.007820980576515923
50,hiv_bevirimat_subsampled,clsCoef,0.52838,0.02191245308038331,0.04147101154544705
51,hiv_lpv_subsampled,t1,0.8823999999999999,0.019506921848410647,0.022106665739359304
52,hiv_lpv_subsampled,density,0.81058,0.006092913917002237,0.0075167335944659845
53,hiv_lpv_subsampled,clsCoef,0.21337000000000003,0.008956176639615811,0.04197486356852327
54,tce_zhao_subsampled,t1,0.9044800000000001,0.027033120426617423,0.02988802452969377
55,tce_zhao_subsampled,density,0.9986799999999997,0.0004664761515876244,0.00046709271397006504
56,tce_zhao_subsampled,clsCoef,0.9604299999999998,0.017702686236839876,0.018432042144497653
57,umami_subsampled,t1,0.7718200000000002,0.023311104649930275,0.030202773509277126
58,umami_subsampled,density,0.7040700000000001,0.04996643973708752,0.07096799996745709
59,umami_subsampled,clsCoef,0.16297999999999999,0.046024554316147374,0.28239387848906233
