,model,params,global_stability,consensus_silhouette,mean_ari,std_ari,mean_nmi,std_nmi,pac,separation_ratio,cv,silhouette,davies_bouldin,calinski_harabasz,stability_score
0,KMeans,"{'n_clusters': 3, 'init': 'k-means++', 'random_state': 42, 'n_init': 10}",0.4225745464111354,0.9299890448538812,0.8722012265142992,0.19381870413559502,0.8897607530981407,0.14173383338625034,0.21739130434782608,1.1146969884802995,0.5026460593776997,0.2626637155818458,1.2771909394127745,25.76960363532112,0.6589454501306337
1,KMeans,"{'n_clusters': 3, 'init': 'random', 'random_state': 42, 'n_init': 10}",0.41876090340536476,0.9188666874046183,0.8604893042872951,0.19502126105270565,0.8760798856378286,0.14661485092875656,0.2422360248447205,1.1146969884802995,0.5026460593776997,0.2626637155818458,1.2771909394127747,25.76960363532112,0.6513005804697946
2,Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 15}",0.5132557069477688,0.7154911745713839,0.5176730220445023,0.3287262043072387,0.6559713771692737,0.22114155293519208,0.6178053830227743,0.9664283707363974,0.5656854247068014,0.257293474363477,1.2683358946123318,24.314399121786035,0.5550279950015118
4,Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 50}",0.5152117946671059,0.7111100318289953,0.5124850620395999,0.3272292029797897,0.6527550406650735,0.2204361111319962,0.6182194616977226,0.9664283707363974,0.5656854247068014,0.257293474363477,1.2683358946123318,24.314399121786035,0.553573422311232
5,Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 100}",0.5152117946671059,0.7111100318289953,0.5124850620395999,0.3272292029797897,0.6527550406650735,0.2204361111319962,0.6182194616977226,0.9664283707363974,0.5656854247068014,0.257293474363477,1.2683358946123318,24.314399121786035,0.553573422311232
3,Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 25}",0.5150445653612754,0.7098952758513982,0.5109392092769922,0.32846565355716856,0.6527634485570504,0.22042859135256376,0.6182194616977226,0.9664283707363974,0.5656854247068014,0.257293474363477,1.2683358946123318,24.314399121786035,0.552783100634015
6,KMeans,"{'n_clusters': 4, 'init': 'random', 'random_state': 42, 'n_init': 10}",0.3313528476797452,0.7637851395020532,0.694340554503419,0.1999541536919332,0.7795174340017474,0.12809519168800848,0.42939958592132504,0.7312937691930581,0.4789444172760377,0.2668764781154071,1.2686446369455957,24.203301697492623,0.526735618091309
7,KMeans,"{'n_clusters': 4, 'init': 'k-means++', 'random_state': 42, 'n_init': 10}",0.36071158245108803,0.7345328847778857,0.6350914052433202,0.2060062231270252,0.7437564222927925,0.14366407775343354,0.4215320910973085,0.6885831846782812,0.4890640788240687,0.2755149599228604,1.236403281037716,24.756397111155053,0.5177897897541173
8,GaussianMixture,"{'n_components': 3, 'covariance_type': 'tied', 'reg_covar': 1e-06, 'random_state': 42}",0.48806169413071937,0.18419720748951335,0.19595207976494017,0.10673048641368496,0.3657293925600348,0.1240994199685162,0.6629399585921325,0.6039634212344936,0.4952838804551559,0.1857813304755113,1.937744357688904,17.621373887413956,0.3396559124927444
9,GaussianMixture,"{'n_components': 3, 'covariance_type': 'tied', 'reg_covar': 1e-05, 'random_state': 42}",0.48806169413071937,0.18419720748951335,0.19595207976494017,0.10673048641368496,0.3657293925600348,0.1240994199685162,0.6629399585921325,0.6039634212344936,0.4952838804551559,0.1857813304755113,1.937744357688904,17.621373887413956,0.3396559124927444
