,model,params,global_stability,consensus_silhouette,mean_ari,mean_nmi,pac,separation_ratio,cv,silhouette,davies_bouldin,calinski_harabasz,stability_score
9,KMeans,"{'n_clusters': 3, 'init': 'random', 'random_state': 42, 'n_init': 10}",0.5382402771042131,0.8502622272909733,0.7596805011215676,0.7880655174197677,0.46045548654244306,0.3574526802348305,0.8750510185457527,0.3458399032559347,1.1933303877188308,31.54462739857076,0.6670767343467715
8,KMeans,"{'n_clusters': 3, 'init': 'k-means++', 'random_state': 42, 'n_init': 10}",0.5304569267548724,0.8134957145379491,0.7072217330950391,0.7541154637910086,0.5225672877846791,0.3574526802348305,0.8750510185457527,0.3458399032559347,1.1933303877188306,31.54462739857076,0.6400941262135378
6,GaussianMixture,"{'n_components': 3, 'covariance_type': 'spherical', 'reg_covar': 1e-05, 'random_state': 42}",0.5072563676546011,0.8304920711398435,0.7228023329814784,0.750084871172946,0.4575569358178054,0.4005850601268949,0.6311634864259164,0.2992382500703981,2.223789906985653,24.593528131913388,0.6365672979497128
7,GaussianMixture,"{'n_components': 3, 'covariance_type': 'spherical', 'reg_covar': 1e-06, 'random_state': 42}",0.5072563676546011,0.8304920711398435,0.7228023329814784,0.750084871172946,0.4575569358178054,0.4005850601268949,0.6311634864259164,0.2992382500703981,2.223789906985653,24.593528131913388,0.6365672979497128
5,GaussianMixture,"{'n_components': 3, 'covariance_type': 'spherical', 'reg_covar': 0.0001, 'random_state': 42}",0.5072563676546011,0.8304920711398435,0.7228023329814784,0.750084871172946,0.4575569358178054,0.4005850601268949,0.6311634864259164,0.2992382500703981,2.223789906985653,24.593528131913388,0.6365672979497128
2,Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 50}",0.6066269662890015,0.5904600751185656,0.48529646647406804,0.5662958067023758,0.6728778467908902,0.7946739336988065,0.8473247211418276,0.3309686364139416,1.562718857859524,27.860008583219937,0.5669944381104343
3,Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 100}",0.6066269662890015,0.5904600751185656,0.48529646647406804,0.5662958067023758,0.6728778467908902,0.7946739336988065,0.8473247211418276,0.3309686364139416,1.562718857859524,27.860008583219937,0.5669944381104343
1,Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 25}",0.6073344339191511,0.5865506103101947,0.4807310593206126,0.5618956074123624,0.662111801242236,0.7946739336988065,0.8473247211418276,0.3309686364139416,1.562718857859524,27.860008583219937,0.5651966568177983
0,Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 15}",0.6095150649988015,0.5505539311357778,0.44041178868172204,0.5339903436098659,0.650103519668737,0.9116074871353336,0.9032819973007212,0.3059278639063571,1.374305328477898,27.74960891861462,0.5469918553310729
4,KMeans,"{'n_clusters': 4, 'init': 'random', 'random_state': 42, 'n_init': 10}",0.3966294680691081,0.5736964733580294,0.5419000938267581,0.6294331199685073,0.5527950310559007,0.6386379000330441,0.8480469754957348,0.3079181754135097,1.3796547493615865,27.25784343942859,0.47562405685418735
