model,targets,spearman_mean,spearman_std
lasso,mcc_mean,0.7731868131868131,0.05402124482017483
lasso,auc_roc_mean,0.7661538461538462,0.10181874640116854
lasso,f1_mean,0.7890109890109891,0.073867082330022
linear,mcc_mean,0.8004395604395604,0.08393648008636492
linear,auc_roc_mean,0.8136263736263736,0.10765552186262252
linear,f1_mean,0.7960439560439562,0.04330060784536174
ridge,mcc_mean,0.8224175824175823,0.06593992647946961
ridge,auc_roc_mean,0.8558241758241758,0.05129126029297518
ridge,f1_mean,0.8276923076923077,0.07696199957183046
