Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.5699158241284341,0.04760911042454679,0.7835261070720423,0.02523199364158854,0.817981281260294,0.017575577886904538
SVM,0.6708070574635749,0.049425729090228195,0.8357053158341989,0.025998628891701864,0.858293695888268,0.01879161908252458
KNN,0.5039115487773228,0.05957444108636798,0.7402245092793672,0.03041438081331659,0.8054252859255235,0.020217735608578688
Random Forest,0.6467897982458178,0.043896226134973015,0.8228237025147138,0.024184386545646842,0.849284997504357,0.015018956452252418
XGBoost,0.6608195968070194,0.04080598661636461,0.8304290592641552,0.02221918976253256,0.8544781940783487,0.014386696463196846
