Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.3764804290029612,0.07574192631039521,0.6670390883626178,0.01777783087481647,0.46571428571428575,0.042952275366779744
SVM,0.10916844377626847,0.1418167333370049,0.5256302521008402,0.03173312199747763,0.09444444444444444,0.11600340565456166
KNN,0.3138231748431818,0.12845170201602663,0.6673605805958747,0.07576257866313096,0.43740573152337864,0.10486566758076536
Random Forest,0.23317091816872262,0.168857035096943,0.5605519480519481,0.04615531246724726,0.22000000000000003,0.12884098726725127
XGBoost,0.3783112111980492,0.14157897582839735,0.6372644512350394,0.055114489901488,0.4123076923076924,0.12886394825459646
