Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.35229305227224866,0.019178826644348626,0.675976085649602,0.009536699432112642,0.6725311173509354,0.016033809716389544
SVM,0.5111673781876332,0.036161377690645834,0.7538799087474112,0.017438789777314733,0.7375655951107817,0.016285535432917362
KNN,0.41601548863936344,0.027962923190492144,0.707879920028841,0.013946078215440642,0.7025236085549624,0.011920576874189045
Random Forest,0.4871607897933002,0.02796050020391714,0.7406458405922862,0.013655151961949698,0.7175913813175733,0.014958288576476643
XGBoost,0.4734818134075158,0.02651964867300967,0.735490874432877,0.012916987388318398,0.7193296625137263,0.011890224025449312
