name,mcc_max,auc_roc_max,f1_max
DPPIV_inhibitory_activity,0.735976095414247,0.8675495557074504,0.8667844628778549
HemoPI1,0.9513728213503444,0.9755855855855856,0.9754567520766558
HemoPI2,0.5654758120236458,0.782207999788645,0.8019370980200353
HemoPI3,0.5804465987663615,0.7892634828470179,0.8119773754686461
Hemo_HAPPENN,0.641629749123932,0.8172746080540716,0.7839122991429986
ace_inhibitory_activity,0.6267676367581368,0.8133189783189783,0.8123532543034555
ace_vaxinpad,0.885349573278296,0.9400567738272656,0.9334166262291748
acp_anticp,0.8208358075989863,0.9086868686868688,0.9067874670209036
acp_iacp,0.8822288712849311,0.9285133565621372,0.9211231628157266
acp_mlacp,0.629852322133506,0.7902182103822677,0.7201701390007841
afp_amppred,0.8352257120467905,0.9150123586093614,0.910132807709752
afp_antifp,0.8633512997610673,0.9314174080873698,0.9302755982596468
aip_aippred,0.2539177936562419,0.6141015873015874,0.4975231671371661
aip_antiinflam,0.3252474954773061,0.6555453021378783,0.5775551263361562
amp_antibp,0.9539184349555532,0.976797647687784,0.9765387391693766
amp_antibp2,0.9043455128463772,0.9509220851733412,0.9489996108450468
amp_csamp,0.9394299110347124,0.9708205128205128,0.9762792054412476
amp_fernandes,0.6550001101122189,0.8268115942028986,0.8303204180222814
amp_gonzales,0.7701594182753051,0.8576190476190476,0.7973737373737374
amp_iamp2l,0.8127885566021185,0.8941570524070525,0.8591283845755662
amp_modlamp,0.9026381560471808,0.9506291192163624,0.947952115365798
anitinflamatory,0.2334949652367257,0.5900278843444826,0.4868060689319166
anti_MRSA,0.8913602536469452,0.9280453768938712,0.9035268691549724
antibacterial,0.8966625741487382,0.94757220835705,0.9460083518884136
anticancer_alternative,0.8653442485109721,0.9304123711340206,0.9268115283838644
anticancer_main,0.4862874159028515,0.7427779271407446,0.7419183863633793
antidiabetic,0.4808365544127346,0.7393617021276596,0.7507777936384175
antifungal,0.8966277037259571,0.947624486066697,0.9461624583372394
antimalarial_alternative,0.9057901145691848,0.9351431683784626,0.919212816287178
antimalarial_main,0.7241380182092467,0.8278628744546209,0.7319230390037843
antimicrobial,0.718668722350672,0.8548645736654261,0.8424782279060435
antimicrobial_UniDL4BioPep,0.9230709332683882,0.9613762941067592,0.9670816783299352
antioxidant,0.8439832248745412,0.9212264150943396,0.9190823615306846
antioxidant_UniDL4BioPep,0.4955832626819882,0.7459673049366797,0.7279929978346658
antiparasitic,0.5701826474841336,0.767191199482226,0.651557548051079
antiviral,0.6997684490056029,0.8486729496552441,0.8421249570422196
atb_antitbp,0.7028470246608035,0.8435102040816327,0.8256116341685102
atb_iantitb,0.548016047618401,0.7724489795918367,0.7727280480093807
avp_amppred,0.730151669498132,0.8640001938955141,0.8581796481302852
avp_avppred,0.6506132832276366,0.8245442671450602,0.851327243250075
bce_ibce,0.1735813349319565,0.5790685665600483,0.508018967954166
bitter,0.673726317041331,0.8359375,0.8343332374150906
blood_brain_barrier,0.5507026277956355,0.7693840579710145,0.78514372310117
cpp_cellppd,0.8083547737430872,0.9033509700176368,0.9003230643781308
cpp_cellppdmod,0.831087402410741,0.9151803187028236,0.9166992065817656
cpp_cppredfl,0.8101442528376868,0.903693314633006,0.906986459071524
cpp_kelmcpp,0.7139086861409704,0.8563829382938293,0.8584807083779472
cpp_mlcpp,0.7380995009674569,0.86286894760224,0.8343127351390919
cpp_mlcppue,0.3836359609689049,0.6901137980085348,0.6732762105798294
cpp_sanders,0.3428393086036744,0.6603519668737061,0.8846557700003078
hem_hemopi,0.8911439792091194,0.9456981811292156,0.9428070482390912
hiv_apv,0.7132587460917047,0.8574851700396644,0.8852152995834588
hiv_bevirimat,0.6375217957797482,0.8021245059288538,0.712548036758563
hiv_idv,0.8277520055164482,0.9131095405490568,0.9157351518064154
hiv_lpv,0.8314653636636514,0.9139008802853196,0.9055991918692148
hiv_nfv,0.822577583778005,0.9117674477198288,0.889876308430394
hiv_protease,0.5871366357754886,0.7701310724354803,0.6420202020202019
hiv_rtv,0.8783231797859041,0.9390020687799764,0.9367183709780028
hiv_sqv,0.8445495566436636,0.9234448688566336,0.9371479299626684
hiv_v3,0.8657128729561341,0.92054724261246,0.8837373527373528
isp_il10pred,0.3933253427258157,0.688909665281737,0.5739569083598486
nep_neuropipred,0.7871595942668446,0.8920000000000001,0.8869983041839145
neuropeptide,0.7811707862181789,0.8905154639175258,0.889727097550683
pip_pipel,0.2382239110714086,0.607355613495699,0.4155837407813106
quorum_sensing,0.8399688875836396,0.9185341789992952,0.922607119432056
tce_zhao,0.3666408955435045,0.6907053730583144,0.4542124542124542
toxic,0.8628192266881236,0.9311570336452852,0.9299705115215988
toxic_PLPTP,0.8368973050415507,0.9111271457635473,0.8801681793338055
tumor_t_cell_antigens,0.3759899341838913,0.6732209177632401,0.7793279594137511
umami,0.6426654500952665,0.8099609679937549,0.7422021116138764
