,dataset,metric,mean,std,cv
0,ace_inhibitory_activity_subsampled,T1,0.8547499999999999,0.0052789677021175315,0.006176037089344875
1,ace_inhibitory_activity_subsampled,LSC,0.9980000000000001,1.1102230246251565e-16,1.1124479204660886e-16
2,ace_inhibitory_activity_subsampled,density,0.68332,0.0719300882802183,0.10526559778759335
3,ace_inhibitory_activity_subsampled,clsCoef,0.14373000000000002,0.06304139195798265,0.4386098375981538
4,ace_inhibitory_activity_subsampled,C1,1e-05,9.9498743710662e-05,9.9498743710662
5,ace_inhibitory_activity_subsampled,C2,0.00010999999999999999,0.00034336569426778794,3.121506311525345
6,ace_vaxinpad_subsampled,T1,0.84659,0.012072360995265187,0.0142599853474116
7,ace_vaxinpad_subsampled,LSC,0.98977,0.0006760917097554153,0.000683079614208771
8,ace_vaxinpad_subsampled,density,0.9582599999999999,0.0020621348161553375,0.0021519575231725603
9,ace_vaxinpad_subsampled,clsCoef,0.57292,0.009524368745486478,0.0166242559964506
10,ace_vaxinpad_subsampled,C1,0.011080000000000001,0.00352613102422471,0.31824287222244674
11,ace_vaxinpad_subsampled,C2,0.030170000000000002,0.009126943628619606,0.30251719020946655
12,acp_anticp_subsampled,T1,0.8673000000000001,0.011997082978791146,0.013832679555852814
13,acp_anticp_subsampled,LSC,0.9912800000000002,0.000601331855134917,0.0006066215954472166
14,acp_anticp_subsampled,density,0.9444999999999998,0.0077711003081931546,0.008227739871035634
15,acp_anticp_subsampled,clsCoef,0.5153,0.0234377899982059,0.04548377643742655
16,acp_anticp_subsampled,C1,0.0003,0.0005916079783099616,1.972026594366539
17,acp_anticp_subsampled,C2,0.0010600000000000002,0.001482025640803829,1.398137396984744
18,acp_iacp_subsampled,T1,0.9254200000000001,0.00971203377259365,0.010494730795307697
19,acp_iacp_subsampled,LSC,0.9877699999999998,0.0007727224598780608,0.0007822898649261072
20,acp_iacp_subsampled,density,0.9786300000000001,0.005447302084518542,0.005566252909187886
21,acp_iacp_subsampled,clsCoef,0.6680500000000003,0.03970702078977972,0.0594371989967513
22,acp_iacp_subsampled,C1,0.02889,0.008664750429181443,0.29992213323577166
23,acp_iacp_subsampled,C2,0.07629999999999999,0.02190319611380951,0.28706679048243133
24,acp_mlacp_subsampled,T1,0.8305599999999999,0.010585197211200175,0.012744650851473917
25,acp_mlacp_subsampled,LSC,0.9923700000000001,0.00048280430818293293,0.0004865164285326369
26,acp_mlacp_subsampled,density,0.9972000000000001,0.0004690415759823434,0.0004703585800063611
27,acp_mlacp_subsampled,clsCoef,0.78531,0.014432390654358005,0.018377953488887197
28,acp_mlacp_subsampled,C1,0.09734999999999999,0.00978813056717165,0.1005457685379728
29,acp_mlacp_subsampled,C2,0.23279,0.02014661013669546,0.0865441390811266
30,afp_amppred_subsampled,T1,0.8179499999999998,0.006307733348834558,0.007711636834567589
31,afp_amppred_subsampled,LSC,0.99715,0.00035707142142714284,0.00035809198358034683
32,afp_amppred_subsampled,density,0.97573,0.0013627545633752263,0.0013966512901880913
33,afp_amppred_subsampled,clsCoef,0.52663,0.007210624106136728,0.013692011670692379
34,afp_amppred_subsampled,C1,0.00031000000000000005,0.00046249324319388714,1.4919136877222163
35,afp_antifp_subsampled,T1,0.8038000000000001,0.004662617290749905,0.005800718201977985
36,afp_antifp_subsampled,LSC,0.9980000000000001,1.1102230246251565e-16,1.1124479204660886e-16
37,afp_antifp_subsampled,density,0.9899800000000001,0.0005473572873361609,0.0005528973184672022
38,afp_antifp_subsampled,clsCoef,0.72443,0.004982479302515972,0.00687779261283488
39,afp_antifp_subsampled,C1,1e-05,9.9498743710662e-05,9.9498743710662
40,aip_aippred_subsampled,T1,0.9995499999999998,0.0004974937185533104,0.000497717691514492
41,aip_aippred_subsampled,LSC,0.9980000000000001,1.1102230246251565e-16,1.1124479204660886e-16
42,aip_aippred_subsampled,density,0.9999899999999999,9.949874371066205e-05,9.949973870804913e-05
43,aip_aippred_subsampled,clsCoef,0.99875,0.0035899164335677814,0.0035944094453744992
